LabelId,ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,AggregateByteValue
103,117,110,115,117,99,99,101,115,115,102,117,108,10623.076923076922,2972517870240016384
103,99,97,99,104,101,100,0,0,0,0,0,0,4730.7692307692305,77443761153
103,97,118,97,105,108,97,98,105,108,105,116,121,10315.384615384615,145243020996968968
103,102,111,117,110,100,0,0,0,0,0,0,0,4230.7692307692305,4616194024695398400
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,114,101,105,115,115,117,101,0,0,0,0,0,6069.230769230769,-2305843009209499572
103,97,118,97,105,108,97,98,105,108,105,116,121,10315.384615384615,145243020996968968
103,98,111,111,107,0,0,0,0,0,0,0,0,3330.7692307692305,1126037446459392
103,100,97,121,115,0,0,0,0,0,0,0,0,3376.9230769230767,4538786146942992
103,97,100,118,97,110,99,101,0,0,0,0,0,5715.384615384615,585472420471637504
103,99,104,111,111,115,101,0,0,0,0,0,0,5046.153846153846,290340460298248
103,97,110,111,116,104,101,114,0,0,0,0,0,5953.846153846153,-9223372036720356848
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,116,114,121,0,0,0,0,0,0,0,0,0,2723.076923076923,5243008
103,99,105,116,121,0,0,0,0,0,0,0,0,3438.4615384615386,36029072031088644
103,100,101,116,101,114,109,105,110,101,100,0,0,8476.923076923076,6917529598871798322
103,108,111,99,97,116,105,111,110,99,111,100,101,10261.538461538461,2382405311119503394
103,99,105,116,121,0,0,0,0,0,0,0,0,3438.4615384615386,36029072031088644
103,99,111,117,110,116,114,121,0,0,0,0,0,6223.076923076923,-9223372032390987256
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,99,111,109,98,105,110,97,116,105,111,110,115,10400,577041874401100288
103,100,97,116,97,118,97,108,105,100,97,116,105,12061.538461538461,-8933971775499270054
103,100,97,116,97,0,0,0,0,0,0,0,0,3200,35188667056146
103,114,101,113,117,101,115,116,0,0,0,0,0,6138.461538461538,-4611650834051104754
103,118,97,108,105,100,97,116,101,100,0,0,0,7523.076923076923,18023523167764480
103,109,117,108,116,105,112,108,101,0,0,0,0,6953.846153846153,225743068760903681
103,108,111,99,97,116,105,111,110,115,0,0,0,7753.846153846153,2382404477891645474
103,105,100,101,110,116,105,102,105,101,100,0,0,8384.615384615385,2305880753405296648
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,114,101,102,105,110,101,0,0,0,0,0,0,4984.615384615385,-9205356538833663994
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,99,114,105,116,101,114,105,97,0,0,0,0,6761.538461538461,649098905795035136
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,114,101,99,111,103,110,105,122,101,100,0,0,8546.153846153846,-8069043157362665468
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,111,118,101,114,118,105,101,119,0,0,0,0,7038.461538461538,20892097183872
103,105,110,102,111,114,109,97,116,105,111,110,0,9576.923076923076,4504016349429762
103,97,118,97,105,108,97,98,108,101,0,0,0,7423.076923076923,1126733407388168
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,102,111,117,110,100,0,0,0,0,0,0,0,4230.7692307692305,4616194024695398400
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,114,111,111,109,0,0,0,0,0,0,0,0,3469.230769230769,9011599448735748
103,116,121,112,101,0,0,0,0,0,0,0,0,3507.6923076923076,9008298767425536
103,102,111,117,110,100,0,0,0,0,0,0,0,4230.7692307692305,4616194024695398400
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,115,101,108,101,99,116,0,0,0,0,0,0,5038.461538461538,4611695933627826176
103,100,105,102,102,101,114,101,110,116,0,0,0,7592.307692307692,10276173112215568
103,114,111,111,109,0,0,0,0,0,0,0,0,3469.230769230769,9011599448735748
103,100,97,116,101,115,0,0,0,0,0,0,0,4146.153846153846,35184372121618
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,99,111,109,109,111,110,0,0,0,0,0,0,5107.692307692308,576478353751539712
103,101,114,114,111,114,115,109,115,116,101,114,114,12723.076923076922,57467152047808577
103,116,110,111,119,101,114,114,111,114,97,116,116,11776.923076923076,2295231060935816
103,115,117,112,112,108,105,101,114,101,114,114,111,15269.23076923077,149964864847626777
103,99,111,109,109,111,110,0,0,0,0,0,0,5107.692307692308,576478353751539712
103,101,114,114,111,114,115,0,0,0,0,0,0,5261.538461538461,37198677390925825
103,109,115,116,101,114,114,111,114,0,0,0,0,7092.307692307692,27021619239354400
103,115,117,112,112,108,105,101,114,101,114,114,111,15269.23076923077,149964864847626777
103,116,110,111,119,101,114,114,111,114,97,116,116,11776.923076923076,2295231060935816
103,105,110,99,111,114,114,101,99,116,0,0,0,7730.7692307692305,2254282314883072
103,120,109,108,0,0,0,0,0,0,0,0,0,2615.3846153846152,72057594608353280
103,102,111,114,109,97,116,0,0,0,0,0,0,5107.692307692308,2251808407848960
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,99,104,101,99,107,0,0,0,0,0,0,0,4000,4611694952093581312
103,109,105,115,115,105,110,103,0,0,0,0,0,6023.076923076923,1166432990683725848
103,101,108,101,109,101,110,116,115,0,0,0,0,6838.461538461538,54975585845248
103,111,100,100,0,0,0,0,0,0,0,0,0,2415.3846153846152,142606464
103,99,104,97,114,97,99,116,101,114,115,0,0,8469.23076923077,1698762846240832
103,105,110,99,111,114,114,101,99,116,0,0,0,7730.7692307692305,2254282314883072
103,102,111,114,109,97,116,0,0,0,0,0,0,5107.692307692308,2251808407848960
103,98,101,100,0,0,0,0,0,0,0,0,0,2323.076923076923,1266637395197960
103,116,121,112,101,0,0,0,0,0,0,0,0,3507.6923076923076,9008298767425536
103,112,114,101,102,101,114,101,110,99,101,0,0,8461.538461538461,2542071962836992
103,105,110,99,111,114,114,101,99,116,0,0,0,7730.7692307692305,2254282314883072
103,118,97,108,117,101,0,0,0,0,0,0,0,4238.461538461538,9107478167552
103,115,116,97,114,0,0,0,0,0,0,0,0,3446.153846153846,36037593113034816
103,114,97,116,105,110,103,0,0,0,0,0,0,5076.923076923077,422213673025668
103,105,110,118,97,108,105,100,0,0,0,0,0,5876.923076923077,1168275276288
103,101,120,112,105,114,101,100,0,0,0,0,0,5953.846153846153,5773649907198492672
103,99,111,100,101,0,0,0,0,0,0,0,0,3207.6923076923076,281475648847872
103,105,110,118,101,110,116,111,114,121,0,0,0,8015.384615384615,19149111697740290
103,115,111,117,114,99,101,0,0,0,0,0,0,5169.230769230769,144124057183330312
103,105,110,102,111,114,109,97,116,105,111,110,0,9576.923076923076,4504016349429762
103,109,105,115,109,97,116,99,104,0,0,0,0,6784.615384615385,1164181055915163648
103,109,105,110,105,109,117,109,0,0,0,0,0,6038.461538461538,5773614774902325256
103,110,117,109,98,101,114,0,0,0,0,0,0,5107.692307692308,5764616354560737282
103,110,105,103,104,116,115,0,0,0,0,0,0,5138.461538461538,-9223370936268324863
103,114,101,113,117,105,114,101,100,0,0,0,0,6869.230769230769,-4170333254945079028
103,109,117,115,116,0,0,0,0,0,0,0,0,3561.5384615384614,45044792366727169
103,115,117,112,112,108,121,0,0,0,0,0,0,5384.615384615385,1205064744058888
103,99,104,105,108,100,114,101,110,0,0,0,0,6684.615384615385,2332064366198784
103,97,103,101,0,0,0,0,0,0,0,0,0,2338.4615384615386,2251800887427584
103,110,111,114,101,115,117,108,116,115,102,111,117,12600,94584432335266817
103,118,97,99,97,110,99,121,0,0,0,0,0,5861.538461538461,320243499041
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,116,114,121,0,0,0,0,0,0,0,0,0,2723.076923076923,5243008
103,100,105,102,102,101,114,101,110,116,0,0,0,7592.307692307692,10276173112215568
103,100,97,116,101,115,0,0,0,0,0,0,0,4146.153846153846,35184372121618
103,110,101,97,114,98,121,0,0,0,0,0,0,5046.153846153846,2251818067361796
103,104,111,116,101,108,115,0,0,0,0,0,0,5153.846153846153,18019932574842882
103,102,111,117,110,100,0,0,0,0,0,0,0,4230.7692307692305,4616194024695398400
103,100,97,116,97,98,97,115,101,0,0,0,0,6530.7692307692305,43984777117746
103,112,114,105,99,101,109,105,115,109,97,116,99,11253.846153846154,2326391258073071616
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,101,110,116,101,114,0,0,0,0,0,0,0,4246.153846153846,576496490726555648
103,99,105,116,121,0,0,0,0,0,0,0,0,3438.4615384615386,36029072031088644
103,97,110,100,111,114,0,0,0,0,0,0,0,4169.2307692307695,-9223372035512073728
103,115,116,97,116,101,0,0,0,0,0,0,0,4269.2307692307695,-9187334443742789564
103,110,97,109,101,0,0,0,0,0,0,0,0,3253.846153846154,1082131584
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,101,110,116,101,114,0,0,0,0,0,0,0,4246.153846153846,576496490726555648
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,99,111,117,110,116,114,121,0,0,0,0,0,6223.076923076923,-9223372032390987256
103,99,111,100,101,0,0,0,0,0,0,0,0,3207.6923076923076,281475648847872
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,101,110,116,101,114,0,0,0,0,0,0,0,4246.153846153846,576496490726555648
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,101,110,116,101,114,0,0,0,0,0,0,0,4246.153846153846,576496490726555648
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,115,116,97,116,101,0,0,0,0,0,0,0,4269.2307692307695,-9187334443742789564
103,99,111,100,101,0,0,0,0,0,0,0,0,3207.6923076923076,281475648847872
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,110,97,114,114,111,119,0,0,0,0,0,0,5230.7692307692305,36063982489960576
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,101,110,116,101,114,105,110,103,0,0,0,0,6830.7692307692305,613088237699006464
103,97,100,100,105,116,105,111,110,97,108,0,0,8415.384615384615,153126854096658960
103,99,114,105,116,101,114,105,97,0,0,0,0,6761.538461538461,649098905795035136
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,110,97,114,114,111,119,0,0,0,0,0,0,5230.7692307692305,36063982489960576
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,101,110,116,101,114,105,110,103,0,0,0,0,6830.7692307692305,613088237699006464
103,100,101,115,116,105,110,97,116,105,111,110,0,9546.153846153846,1226192961662887440
103,105,110,102,111,114,109,97,116,105,111,110,0,9576.923076923076,4504016349429762
103,108,97,116,105,116,117,100,101,0,0,0,0,6830.7692307692305,9009398279115265
103,108,111,110,103,105,116,117,100,101,0,0,0,7746.153846153846,2900323125143017472
103,115,101,97,114,99,104,101,115,0,0,0,0,6723.076923076923,5224184639794454784
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,110,97,114,114,111,119,0,0,0,0,0,0,5230.7692307692305,36063982489960576
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,115,112,101,99,105,102,121,105,110,103,0,0,8600,293868946657388568
103,112,97,114,97,109,101,116,101,114,115,0,0,8623.076923076922,181551377292591176
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,110,97,114,114,111,119,0,0,0,0,0,0,5230.7692307692305,36063982489960576
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,101,110,116,101,114,105,110,103,0,0,0,0,6830.7692307692305,613088237699006464
103,99,105,116,121,0,0,0,0,0,0,0,0,3438.4615384615386,36029072031088644
103,110,97,109,101,0,0,0,0,0,0,0,0,3253.846153846154,1082131584
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,112,114,111,118,105,100,101,0,0,0,0,0,6015.384615384615,576751298251325472
103,99,104,101,99,107,105,110,0,0,0,0,0,5738.461538461538,4611837888605192192
103,100,97,116,101,0,0,0,0,0,0,0,0,3230.7692307692305,35184372088850
103,99,111,110,102,105,114,109,97,116,105,111,110,10423.076923076922,36068937922810888
103,110,117,109,98,101,114,0,0,0,0,0,0,5107.692307692308,5764616354560737282
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,112,114,111,118,105,100,101,0,0,0,0,0,6015.384615384615,576751298251325472
103,108,97,116,105,116,117,100,101,0,0,0,0,6830.7692307692305,9009398279115265
103,100,101,99,105,109,97,108,0,0,0,0,0,5692.307692307692,288230376290159120
103,99,111,111,114,100,105,110,97,116,101,0,0,8530.76923076923,3379899149582468
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,112,114,111,118,105,100,101,0,0,0,0,0,6015.384615384615,576751298251325472
103,108,111,110,103,105,116,117,100,101,0,0,0,7746.153846153846,2900323125143017472
103,100,101,99,105,109,97,108,0,0,0,0,0,5692.307692307692,288230376290159120
103,99,111,111,114,100,105,110,97,116,101,0,0,8530.76923076923,3379899149582468
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,112,114,111,118,105,100,101,0,0,0,0,0,6015.384615384615,576751298251325472
103,100,101,99,105,109,97,108,0,0,0,0,0,5692.307692307692,288230376290159120
103,108,97,116,105,116,117,100,101,0,0,0,0,6830.7692307692305,9009398279115265
103,108,111,110,103,105,116,117,100,101,0,0,0,7746.153846153846,2900323125143017472
103,99,111,111,114,100,105,110,97,116,101,115,0,9492.307692307691,3379899149582468
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,112,114,111,118,105,100,101,0,0,0,0,0,6015.384615384615,576751298251325472
103,111,110,101,0,0,0,0,0,0,0,0,0,2500,1179776
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,97,109,101,110,105,116,121,0,0,0,0,0,6000,-9221120237041089964
103,99,111,100,101,115,0,0,0,0,0,0,0,4123.076923076923,281476722589696
103,115,101,97,114,99,104,0,0,0,0,0,0,4961.538461538461,4647723887491031040
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,116,114,121,0,0,0,0,0,0,0,0,0,2723.076923076923,5243008
103,100,105,102,102,101,114,101,110,116,0,0,0,7592.307692307692,10276173112215568
103,100,97,116,101,115,0,0,0,0,0,0,0,4146.153846153846,35184372121618
103,110,101,97,114,98,121,0,0,0,0,0,0,5046.153846153846,2251818067361796
103,104,111,116,101,108,115,0,0,0,0,0,0,5153.846153846153,18019932574842882
103,112,114,105,99,105,110,103,0,0,0,0,0,5915.384615384615,2533833136472065
103,101,114,114,111,114,0,0,0,0,0,0,0,4338.461538461538,37189881297903617
103,114,101,116,114,105,101,118,101,0,0,0,0,6907.692307692308,-9205076128438419444
103,114,97,116,101,0,0,0,0,0,0,0,0,3338.4615384615386,1125900041060484
103,105,110,102,111,114,109,97,116,105,111,110,0,9576.923076923076,4504016349429762
103,114,101,113,117,101,115,116,101,100,0,0,0,7800,-4611650829756137442
103,116,105,109,101,0,0,0,0,0,0,0,0,3361.5384615384614,1099514773536
103,112,114,111,98,108,101,109,0,0,0,0,0,5953.846153846153,-9223081764711036896
103,103,101,116,116,105,110,103,0,0,0,0,0,5961.538461538461,-6917524629460335616
103,100,101,116,97,105,108,101,100,0,0,0,0,6584.615384615385,9007203549708850
103,114,111,111,109,0,0,0,0,0,0,0,0,3469.230769230769,9011599448735748
103,97,118,97,105,108,0,0,0,0,0,0,0,4115.384615384615,824642109960
103,120,109,108,119,115,0,0,0,0,0,0,0,4469.2307692307695,81064794936836096
103,114,97,116,101,0,0,0,0,0,0,0,0,3338.4615384615386,1125900041060484
103,100,101,116,97,105,108,0,0,0,0,0,0,4938.461538461538,9007199254741554
103,116,104,114,101,119,0,0,0,0,0,0,0,4338.461538461538,2251869876387840
103,101,120,99,101,112,116,105,111,110,0,0,0,7776.923076923076,-9187228890089635320
103,113,117,101,114,121,0,0,0,0,0,0,0,4430.7692307692305,1125900074749952
103,112,114,111,112,105,100,0,0,0,0,0,0,5146.153846153846,2310628083818102816
103,112,114,111,112,101,114,116,121,0,0,0,0,7146.153846153846,7206040880934027296
103,108,111,110,103,101,114,0,0,0,0,0,0,5092.307692307692,2305847957687111680
103,97,118,97,105,108,97,98,108,101,0,0,0,7423.076923076923,1126733407388168
103,112,114,111,112,101,114,116,121,0,0,0,0,7146.153846153846,7206040880934027296
103,108,111,111,107,117,112,0,0,0,0,0,0,5238.461538461538,1125900050763776
103,102,97,105,108,101,100,0,0,0,0,0,0,4830.7692307692305,138445952
103,115,117,112,112,108,105,101,114,0,0,0,0,7015.384615384615,5708939249860608
103,104,111,116,101,108,105,100,0,0,0,0,0,5892.307692307692,630509481897230336
103,113,117,101,114,121,0,0,0,0,0,0,0,4430.7692307692305,1125900074749952
103,99,97,110,0,0,0,0,0,0,0,0,0,2376.9230769230767,134218768
103,112,114,111,99,101,101,100,0,0,0,0,0,5838.461538461538,4611980687548088352
103,114,101,102,101,114,0,0,0,0,0,0,0,4169.2307692307695,-9223371761976868842
103,109,117,108,116,105,112,108,101,0,0,0,0,6953.846153846153,225743068760903681
103,108,111,99,97,116,105,111,110,115,0,0,0,7753.846153846153,2382404477891645474
103,102,97,113,0,0,0,0,0,0,0,0,0,2423.076923076923,70368748404736
103,100,101,116,97,105,108,115,0,0,0,0,0,5869.230769230769,9007199254741558
103,114,101,99,111,118,101,114,105,110,103,0,0,8623.076923076922,-8061443311518349268
103,116,121,112,101,115,0,0,0,0,0,0,0,4423.076923076923,9008298767949824
103,101,114,114,111,114,115,0,0,0,0,0,0,5261.538461538461,37198677390925825
103,115,112,101,99,105,102,105,101,100,0,0,0,7507.692307692308,1134970878566416
103,97,114,114,105,118,97,108,0,0,0,0,0,5953.846153846153,2263071955354113
103,100,97,116,101,0,0,0,0,0,0,0,0,3230.7692307692305,35184372088850
103,112,114,105,111,114,0,0,0,0,0,0,0,4353.846153846153,5767140797824892928
103,116,111,100,97,121,115,0,0,0,0,0,0,5192.307692307692,4614078557877964800
103,100,97,116,101,0,0,0,0,0,0,0,0,3230.7692307692305,35184372088850
103,115,112,101,99,105,102,105,101,100,0,0,0,7507.692307692308,1134970878566416
103,99,105,116,121,0,0,0,0,0,0,0,0,3438.4615384615386,36029072031088644
103,114,101,115,111,108,118,101,100,0,0,0,0,6892.307692307692,-8646752950581985258
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,108,111,99,97,116,105,111,110,0,0,0,0,6807.692307692308,2382404203013738530
103,115,117,112,112,108,105,101,114,0,0,0,0,7015.384615384615,5708939249860608
103,114,101,116,117,114,110,0,0,0,0,0,0,5284.615384615385,-9218863764302987252
103,116,101,120,116,0,0,0,0,0,0,0,0,3530.7692307692305,34603552
103,110,117,108,108,0,0,0,0,0,0,0,0,3453.846153846154,585189294088
103,117,110,112,97,114,115,97,98,108,101,0,0,8569.23076923077,2308098193595894784
103,115,117,112,112,108,105,101,114,0,0,0,0,7015.384615384615,5708939249860608
103,114,101,99,111,103,110,105,122,101,100,0,0,8546.153846153846,-8069043157362665468
103,103,117,101,115,116,115,0,0,0,0,0,0,5246.153846153846,-8646629809499144176
103,116,97,103,0,0,0,0,0,0,0,0,0,2453.846153846154,2305847407261253632
103,108,97,114,103,101,0,0,0,0,0,0,0,4100,81064932879110144
103,115,109,97,108,108,0,0,0,0,0,0,0,4207.692307692308,594624684394283008
103,98,97,115,101,100,0,0,0,0,0,0,0,4007.6923076923076,73185830406981632
103,115,112,101,99,105,102,105,101,100,0,0,0,7507.692307692308,1134970878566416
103,110,117,109,98,101,114,0,0,0,0,0,0,5107.692307692308,5764616354560737282
103,114,111,111,109,115,0,0,0,0,0,0,0,4384.615384615385,9011599448739844
103,116,97,103,0,0,0,0,0,0,0,0,0,2453.846153846154,2305847407261253632
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,105,100,101,110,116,105,102,105,101,114,0,0,8492.307692307691,2305880753403723784
103,117,115,101,100,0,0,0,0,0,0,0,0,3376.9230769230767,6917529027641638912
103,97,108,111,110,103,0,0,0,0,0,0,0,4146.153846153846,2286984454472192
103,105,100,101,110,116,105,102,105,101,114,0,0,8492.307692307691,2305880753403723784
103,108,111,99,97,116,105,111,110,105,100,0,0,8515.384615384615,2382405302525366306
103,109,97,114,107,101,116,107,101,121,119,111,114,11500,33777203406700589
103,97,100,100,114,101,115,115,0,0,0,0,0,5869.230769230769,153157571706896904
103,97,109,101,110,105,116,121,0,0,0,0,0,6000,-9221120237041089964
103,99,111,100,101,0,0,0,0,0,0,0,0,3207.6923076923076,281475648847872
103,105,110,118,97,108,105,100,0,0,0,0,0,5876.923076923077,1168275276288
103,99,104,97,105,110,0,0,0,0,0,0,0,4038.461538461538,8796294356992
103,99,111,100,101,0,0,0,0,0,0,0,0,3207.6923076923076,281475648847872
103,105,110,118,97,108,105,100,0,0,0,0,0,5876.923076923077,1168275276288
103,99,108,105,101,110,116,0,0,0,0,0,0,5030.7692307692305,8804821409792
103,114,101,113,117,101,115,116,0,0,0,0,0,6138.461538461538,-4611650834051104754
103,108,97,99,107,101,100,0,0,0,0,0,0,4823.076923076923,9007199255859264
103,108,111,99,97,116,105,111,110,0,0,0,0,6807.692307692308,2382404203013738530
103,105,110,102,111,0,0,0,0,0,0,0,0,3338.4615384615386,274919981056
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,115,104,111,112,112,105,110,103,0,0,0,0,6923.076923076923,580973354182246424
103,114,101,113,117,101,115,116,0,0,0,0,0,6138.461538461538,-4611650834051104754
103,99,108,105,101,110,116,0,0,0,0,0,0,5030.7692307692305,8804821409792
103,114,101,113,117,101,115,116,115,0,0,0,0,7076.923076923077,-4611650834051104754
103,98,97,100,0,0,0,0,0,0,0,0,0,2292.3076923076924,1125899906844800
103,101,110,100,0,0,0,0,0,0,0,0,0,2415.3846153846152,612524733694476288
103,100,101,112,97,114,116,97,114,114,105,118,101,10423.076923076922,2314850494083826197
103,100,97,116,101,115,0,0,0,0,0,0,0,4146.153846153846,35184372121618
103,99,108,105,101,110,116,0,0,0,0,0,0,5030.7692307692305,8804821409792
103,114,101,113,117,101,115,116,115,0,0,0,0,7076.923076923077,-4611650834051104754
103,98,97,100,0,0,0,0,0,0,0,0,0,2292.3076923076924,1125899906844800
103,115,116,97,114,116,0,0,0,0,0,0,0,4369.2307692307695,36037597408002112
103,98,101,103,105,110,0,0,0,0,0,0,0,4053.846153846154,-9222105399459577088
103,100,101,112,97,114,116,97,114,114,105,118,101,10423.076923076922,2314850494083826197
103,100,97,116,101,115,0,0,0,0,0,0,0,4146.153846153846,35184372121618
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
103,115,101,108,101,99,116,101,100,0,0,0,0,6684.615384615385,4611695933663477760
103,108,111,110,103,101,114,0,0,0,0,0,0,5092.307692307692,2305847957687111680
103,97,118,97,105,108,97,98,108,101,0,0,0,7423.076923076923,1126733407388168
103,112,108,101,97,115,101,0,0,0,0,0,0,4992.307692307692,1153202984952268802
103,99,104,111,111,115,101,0,0,0,0,0,0,5046.153846153846,290340460298248
103,97,110,111,116,104,101,114,0,0,0,0,0,5953.846153846153,-9223372036720356848
103,108,111,99,97,108,101,0,0,0,0,0,0,4915.384615384615,81064793426956290
103,118,97,108,105,100,0,0,0,0,0,0,0,4138.461538461538,9073118674944
103,108,111,99,97,116,105,111,110,0,0,0,0,6807.692307692308,2382404203013738530
103,115,111,108,118,101,100,0,0,0,0,0,0,5138.461538461538,-9223292803298098936
103,109,97,114,107,101,116,0,0,0,0,0,0,5069.2307692307695,31525334831595521
103,108,111,99,97,116,105,111,110,0,0,0,0,6807.692307692308,2382404203013738530
103,115,101,114,118,105,99,101,0,0,0,0,0,5953.846153846153,5188177557073166368
103,99,108,105,101,110,116,0,0,0,0,0,0,5030.7692307692305,8804821409792
103,114,101,113,117,101,115,116,115,0,0,0,0,7076.923076923077,-4611650834051104754
103,108,111,99,97,116,105,111,110,0,0,0,0,6807.692307692308,2382404203013738530
103,105,110,102,111,0,0,0,0,0,0,0,0,3338.4615384615386,274919981056
103,110,117,109,98,101,114,0,0,0,0,0,0,5107.692307692308,5764616354560737282
103,104,111,116,101,108,0,0,0,0,0,0,0,4230.7692307692305,18019932574842880
