ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,FitValue
112,108,101,97,115,101,0,0,0,0,0,0,0.0043314108251996455
114,101,105,115,115,117,101,0,0,0,0,0,0.004305817744980264
97,118,97,105,108,97,98,105,108,105,116,121,0.004431517715494447
98,111,111,107,0,0,0,0,0,0,0,0,0.004387045181927229
100,97,121,115,0,0,0,0,0,0,0,0,0.0043430413080218526
97,100,118,97,110,99,101,0,0,0,0,0,0.004327536785782534
99,104,111,111,115,101,0,0,0,0,0,0,0.004296799224054316
97,110,111,116,104,101,114,0,0,0,0,0,0.004278457128342829
104,111,116,101,108,0,0,0,0,0,0,0,0.004242499733086587
116,114,121,0,0,0,0,0,0,0,0,0,0.004203866432337435
99,105,116,121,0,0,0,0,0,0,0,0,0.004166695510712679
100,101,116,101,114,109,105,110,101,100,0,0,0.004214972619206625
108,111,99,97,116,105,111,110,99,111,100,101,0.004318618657098924
99,105,116,121,0,0,0,0,0,0,0,0,0.004283096945383327
99,111,117,110,116,114,121,0,0,0,0,0,0.004263214670981661
118,97,108,105,100,0,0,0,0,0,0,0,0.004234373578382313
99,111,109,98,105,110,97,116,105,111,110,115,0.004325870574155697
100,97,116,97,118,97,108,105,100,97,116,105,0.0044781173046787555
100,97,116,97,0,0,0,0,0,0,0,0,0.004448901676534056
114,101,113,117,101,115,116,0,0,0,0,0,0.004429217560869918
118,97,108,105,100,97,116,101,100,0,0,0,0.004442625115542057
109,117,108,116,105,112,108,101,0,0,0,0,0.004436127100487856
108,111,99,97,116,105,111,110,115,0,0,0,0.004445395714249741
105,100,101,110,116,105,102,105,101,100,0,0,0.0044749497031257674
112,108,101,97,115,101,0,0,0,0,0,0,0.004453517587939698
114,101,102,105,110,101,0,0,0,0,0,0,0.0044328375966686505
115,101,97,114,99,104,0,0,0,0,0,0,0.004413081702027899
99,114,105,116,101,114,105,97,0,0,0,0,0.004410426148117501
104,111,116,101,108,0,0,0,0,0,0,0,0.004385869318439813
114,101,99,111,103,110,105,122,101,100,0,0,0.0044119081397410885
104,111,116,101,108,0,0,0,0,0,0,0,0.004388197669324455
111,118,101,114,118,105,101,119,0,0,0,0,0.004382775736479082
105,110,102,111,114,109,97,116,105,111,110,0,0.004423306585095016
97,118,97,105,108,97,98,108,101,0,0,0,0.004435036376340992
104,111,116,101,108,0,0,0,0,0,0,0,0.004412781007358022
102,111,117,110,100,0,0,0,0,0,0,0,0.004391008886565604
104,111,116,101,108,0,0,0,0,0,0,0,0.004369704443295278
114,111,111,109,0,0,0,0,0,0,0,0,0.004346746052086825
116,121,112,101,0,0,0,0,0,0,0,0,0.004323764485177731
102,111,117,110,100,0,0,0,0,0,0,0,0.004303753408233906
104,111,116,101,108,0,0,0,0,0,0,0,0.0042841559336306055
112,108,101,97,115,101,0,0,0,0,0,0,0.004269669294911793
115,101,108,101,99,116,0,0,0,0,0,0,0.00425504885384946
100,105,102,102,101,114,101,110,116,0,0,0,0.004266676456551269
114,111,111,109,0,0,0,0,0,0,0,0,0.004246308468219143
100,97,116,101,115,0,0,0,0,0,0,0,0.004229243309528962
104,111,116,101,108,0,0,0,0,0,0,0,0.004211673096156594
99,111,109,109,111,110,0,0,0,0,0,0,0.004197842552214827
101,114,114,111,114,115,109,115,116,101,114,114,0.004288365060820563
116,110,111,119,101,114,114,111,114,97,116,116,0.004353889736325997
115,117,112,112,108,105,101,114,101,114,114,111,0.00451045426462459
99,111,109,109,111,110,0,0,0,0,0,0,0.004494730914648862
101,114,114,111,114,115,0,0,0,0,0,0,0.004477906532535336
109,115,116,101,114,114,111,114,0,0,0,0,0.00447220565617251
115,117,112,112,108,105,101,114,101,114,114,111,0.004615736574801348
116,110,111,119,101,114,114,111,114,97,116,116,0.00466696508504924
105,110,99,111,114,114,101,99,116,0,0,0,0.004669284737236906
120,109,108,0,0,0,0,0,0,0,0,0,0.004651962649650207
102,111,114,109,97,116,0,0,0,0,0,0,0.004636462486408119
112,108,101,97,115,101,0,0,0,0,0,0,0.004622247123216825
99,104,101,99,107,0,0,0,0,0,0,0,0.004607167814714984
109,105,115,115,105,110,103,0,0,0,0,0,0.004596154117464483
101,108,101,109,101,110,116,115,0,0,0,0,0.004591731482255862
111,100,100,0,0,0,0,0,0,0,0,0,0.004577325024634644
99,104,97,114,97,99,116,101,114,115,0,0,0.004591226798342202
105,110,99,111,114,114,101,99,116,0,0,0,0.00459434649963552
102,111,114,109,97,116,0,0,0,0,0,0,0.004580539831653887
98,101,100,0,0,0,0,0,0,0,0,0,0.004567483272465546
116,121,112,101,0,0,0,0,0,0,0,0,0.0045505856166198535
112,114,101,102,101,114,101,110,99,101,0,0,0.004564294207576015
105,110,99,111,114,114,101,99,116,0,0,0,0.004567612903225806
118,97,108,117,101,0,0,0,0,0,0,0,0.004552606963006625
115,116,97,114,0,0,0,0,0,0,0,0,0.004536906081571805
114,97,116,105,110,103,0,0,0,0,0,0,0.004524567788898999
105,110,118,97,108,105,100,0,0,0,0,0,0.004516658111204317
101,120,112,105,114,101,100,0,0,0,0,0,0.004508334987100616
99,111,100,101,0,0,0,0,0,0,0,0,0.004495094712161411
105,110,118,101,110,116,111,114,121,0,0,0,0.004497019782791531
115,111,117,114,99,101,0,0,0,0,0,0,0.004484872669230211
105,110,102,111,114,109,97,116,105,111,110,0,0.004506484836925425
109,105,115,109,97,116,99,104,0,0,0,0,0.004504023978664653
109,105,110,105,109,117,109,0,0,0,0,0,0.004495707903538934
110,117,109,98,101,114,0,0,0,0,0,0,0.004484475654343915
110,105,103,104,116,115,0,0,0,0,0,0,0.004473205234540595
114,101,113,117,105,114,101,100,0,0,0,0,0.004470589577178835
109,117,115,116,0,0,0,0,0,0,0,0,0.004456257800975832
115,117,112,112,108,121,0,0,0,0,0,0,0.004443843945279514
99,104,105,108,100,114,101,110,0,0,0,0,0.004442758989917016
97,103,101,0,0,0,0,0,0,0,0,0,0.004432228731505053
110,111,114,101,115,117,108,116,115,102,111,117,0.004486579821647141
118,97,99,97,110,99,121,0,0,0,0,0,0.004480134424630061
112,108,101,97,115,101,0,0,0,0,0,0,0.004470547701848642
116,114,121,0,0,0,0,0,0,0,0,0,0.004457899817655262
100,105,102,102,101,114,101,110,116,0,0,0,0.004462577377602701
100,97,116,101,115,0,0,0,0,0,0,0,0.004451377890402281
110,101,97,114,98,121,0,0,0,0,0,0,0.004441904122662584
104,111,116,101,108,115,0,0,0,0,0,0,0.0044319105055934
102,111,117,110,100,0,0,0,0,0,0,0,0.004420587077662462
100,97,116,97,98,97,115,101,0,0,0,0,0.004420696950712254
112,114,105,99,101,109,105,115,109,97,116,99,0.004461377997407648
112,108,101,97,115,101,0,0,0,0,0,0,0.004452538586923712
101,110,116,101,114,0,0,0,0,0,0,0,0.004441397806420623
99,105,116,121,0,0,0,0,0,0,0,0,0.004429654574619654
97,110,100,111,114,0,0,0,0,0,0,0,0.004419183159730826
115,116,97,116,101,0,0,0,0,0,0,0,0.004408256609427676
110,97,109,101,0,0,0,0,0,0,0,0,0.004397867724296359
115,101,97,114,99,104,0,0,0,0,0,0,0.004389860770979481
112,108,101,97,115,101,0,0,0,0,0,0,0.004381781686658198
101,110,116,101,114,0,0,0,0,0,0,0,0.004371412862089921
118,97,108,105,100,0,0,0,0,0,0,0,0.0043617378619346045
99,111,117,110,116,114,121,0,0,0,0,0,0.004355003095680336
99,111,100,101,0,0,0,0,0,0,0,0,0.004345421078598808
112,108,101,97,115,101,0,0,0,0,0,0,0.004337828916344431
101,110,116,101,114,0,0,0,0,0,0,0,0.004327966069887025
118,97,108,105,100,0,0,0,0,0,0,0,0.004318767507002801
104,111,116,101,108,0,0,0,0,0,0,0,0.004309178743961353
112,108,101,97,115,101,0,0,0,0,0,0,0.0043019561482904485
101,110,116,101,114,0,0,0,0,0,0,0,0.004292475371268931
118,97,108,105,100,0,0,0,0,0,0,0,0.004283636962247586
115,116,97,116,101,0,0,0,0,0,0,0,0.004274222169643914
99,111,100,101,0,0,0,0,0,0,0,0,0.004265367180417045
112,108,101,97,115,101,0,0,0,0,0,0,0.004258568157643284
110,97,114,114,111,119,0,0,0,0,0,0,0.00425066532854237
115,101,97,114,99,104,0,0,0,0,0,0,0.004244179311942546
101,110,116,101,114,105,110,103,0,0,0,0,0.004244090937226433
97,100,100,105,116,105,111,110,97,108,0,0,0.004256338817922164
99,114,105,116,101,114,105,97,0,0,0,0,0.004256494099435598
112,108,101,97,115,101,0,0,0,0,0,0,0.004250019459796061
110,97,114,114,111,119,0,0,0,0,0,0,0.00424248417721519
115,101,97,114,99,104,0,0,0,0,0,0,0.004236302365760619
101,110,116,101,114,105,110,103,0,0,0,0,0.004236275025896178
100,101,115,116,105,110,97,116,105,111,110,0,0.004254144110823443
105,110,102,111,114,109,97,116,105,111,110,0,0.004271518218286532
108,97,116,105,116,117,100,101,0,0,0,0,0.00427124134397673
108,111,110,103,105,116,117,100,101,0,0,0,0.004275607656679101
115,101,97,114,99,104,101,115,0,0,0,0,0.0042757935700271105
112,108,101,97,115,101,0,0,0,0,0,0,0.0042696310695338755
110,97,114,114,111,119,0,0,0,0,0,0,0.004262466768710223
115,101,97,114,99,104,0,0,0,0,0,0,0.004256572619429305
115,112,101,99,105,102,121,105,110,103,0,0,0.004266766269579522
112,97,114,97,109,101,116,101,114,115,0,0,0.004276686444617797
112,108,101,97,115,101,0,0,0,0,0,0,0.004270716542656203
110,97,114,114,111,119,0,0,0,0,0,0,0.004263774491451391
115,101,97,114,99,104,0,0,0,0,0,0,0.004258060510097953
101,110,116,101,114,105,110,103,0,0,0,0,0.0042578914092738515
99,105,116,121,0,0,0,0,0,0,0,0,0.004249456350517523
110,97,109,101,0,0,0,0,0,0,0,0,0.004241857900058213
112,108,101,97,115,101,0,0,0,0,0,0,0.004236222273039104
112,114,111,118,105,100,101,0,0,0,0,0,0.0042324802388765525
99,104,101,99,107,105,110,0,0,0,0,0,0.00422992854774036
100,97,116,101,0,0,0,0,0,0,0,0,0.0042226313021263805
99,111,110,102,105,114,109,97,116,105,111,110,0.004245975933739647
110,117,109,98,101,114,0,0,0,0,0,0,0.00424000947951536
115,101,97,114,99,104,0,0,0,0,0,0,0.0042346931253593595
112,108,101,97,115,101,0,0,0,0,0,0,0.0042293017932087
112,114,111,118,105,100,101,0,0,0,0,0,0.00422573748841689
108,97,116,105,116,117,100,101,0,0,0,0,0.004225780020737711
100,101,99,105,109,97,108,0,0,0,0,0,0.0042235558889722425
99,111,111,114,100,105,110,97,116,101,0,0,0.004233263658229298
115,101,97,114,99,104,0,0,0,0,0,0,0.004228154440374557
112,108,101,97,115,101,0,0,0,0,0,0,0.0042229710556186155
112,114,111,118,105,100,101,0,0,0,0,0,0.004219558145934618
108,111,110,103,105,116,117,100,101,0,0,0,0.004223642530765566
100,101,99,105,109,97,108,0,0,0,0,0,0.004221503231969653
99,111,111,114,100,105,110,97,116,101,0,0,0.004230905000865201
115,101,97,114,99,104,0,0,0,0,0,0,0.004225974294476414
112,108,101,97,115,101,0,0,0,0,0,0,0.004220970364830279
112,114,111,118,105,100,101,0,0,0,0,0,0.004217679180887372
100,101,99,105,109,97,108,0,0,0,0,0,0.0042156243419667295
108,97,116,105,116,117,100,101,0,0,0,0,0.004215722688564887
108,111,110,103,105,116,117,100,101,0,0,0,0.004219657832941966
99,111,111,114,100,105,110,97,116,101,115,0,0.004234135885880889
115,101,97,114,99,104,0,0,0,0,0,0,0.004229379751953812
112,108,101,97,115,101,0,0,0,0,0,0,0.004224551629448225
112,114,111,118,105,100,101,0,0,0,0,0,0.004221366926320491
111,110,101,0,0,0,0,0,0,0,0,0,0.004215014156879195
118,97,108,105,100,0,0,0,0,0,0,0,0.004208969066778138
97,109,101,110,105,116,121,0,0,0,0,0,0.0042059494485353855
99,111,100,101,115,0,0,0,0,0,0,0,0.004200040158301434
115,101,97,114,99,104,0,0,0,0,0,0,0.004195550222875905
112,108,101,97,115,101,0,0,0,0,0,0,0.0041909889305056765
116,114,121,0,0,0,0,0,0,0,0,0,0.004184059383092741
100,105,102,102,101,114,101,110,116,0,0,0,0.004188525373514701
100,97,116,101,115,0,0,0,0,0,0,0,0.004182710624571385
110,101,97,114,98,121,0,0,0,0,0,0,0.004178086956521739
104,111,116,101,108,115,0,0,0,0,0,0,0.004173132636352186
112,114,105,99,105,110,103,0,0,0,0,0,0.00417067850157966
101,114,114,111,114,0,0,0,0,0,0,0,0.004164365762546695
114,101,116,114,105,101,118,101,0,0,0,0,0.004164471395198569
114,97,116,101,0,0,0,0,0,0,0,0,0.004158260007435866
105,110,102,111,114,109,97,116,105,111,110,0,0.004171802915667097
114,101,113,117,101,115,116,101,100,0,0,0,0.004175471421234133
116,105,109,101,0,0,0,0,0,0,0,0,0.004169253380005977
112,114,111,98,108,101,109,0,0,0,0,0,0.004166767841099483
103,101,116,116,105,110,103,0,0,0,0,0,0.004164279757804285
100,101,116,97,105,108,101,100,0,0,0,0,0.004165434058467718
114,111,111,109,0,0,0,0,0,0,0,0,0.004158995916262391
97,118,97,105,108,0,0,0,0,0,0,0,0.004153714640969848
120,109,108,119,115,0,0,0,0,0,0,0,0.004147329540377111
114,97,116,101,0,0,0,0,0,0,0,0,0.004141416542372076
100,101,116,97,105,108,0,0,0,0,0,0,0.0041375880646498135
116,104,114,101,119,0,0,0,0,0,0,0,0.004131732993438135
101,120,99,101,112,116,105,111,110,0,0,0,0.004135555829358304
113,117,101,114,121,0,0,0,0,0,0,0,0.004129469898540978
112,114,111,112,105,100,0,0,0,0,0,0,0.004125096848985489
112,114,111,112,101,114,116,121,0,0,0,0,0.004124652294853964
108,111,110,103,101,114,0,0,0,0,0,0,0.0041205032129186464
97,118,97,105,108,97,98,108,101,0,0,0,0.004125396242017733
112,114,111,112,101,114,116,121,0,0,0,0,0.004124956437781726
108,111,111,107,117,112,0,0,0,0,0,0,0.0041204191163497494
102,97,105,108,101,100,0,0,0,0,0,0,0.004117153292951293
115,117,112,112,108,105,101,114,0,0,0,0,0.004117155756207675
104,111,116,101,108,105,100,0,0,0,0,0,0.004115260333249038
113,117,101,114,121,0,0,0,0,0,0,0,0.004109494652990572
99,97,110,0,0,0,0,0,0,0,0,0,0.004104643294541347
112,114,111,99,101,101,100,0,0,0,0,0,0.004102976803764863
114,101,102,101,114,0,0,0,0,0,0,0,0.004098074819392849
109,117,108,116,105,112,108,101,0,0,0,0,0.004098351596735244
108,111,99,97,116,105,111,110,115,0,0,0,0.004102179349767775
102,97,113,0,0,0,0,0,0,0,0,0,0.004097296526143092
100,101,116,97,105,108,115,0,0,0,0,0,0.004095601374946035
114,101,99,111,118,101,114,105,110,103,0,0,0.0041034417189579776
116,121,112,101,115,0,0,0,0,0,0,0,0.0040979255808915125
101,114,114,111,114,115,0,0,0,0,0,0,0.004093654040226877
115,112,101,99,105,102,105,101,100,0,0,0,0.0040981212313210445
97,114,114,105,118,97,108,0,0,0,0,0,0.004096218020022247
100,97,116,101,0,0,0,0,0,0,0,0,0.004091331120668495
112,114,105,111,114,0,0,0,0,0,0,0,0.004086145071876231
116,111,100,97,121,115,0,0,0,0,0,0,0.0040821855350913466
100,97,116,101,0,0,0,0,0,0,0,0,0.004077371505956537
115,112,101,99,105,102,105,101,100,0,0,0,0.0040818313892281135
99,105,116,121,0,0,0,0,0,0,0,0,0.004076474264377655
114,101,115,111,108,118,101,100,0,0,0,0,0.004077005515330528
118,97,108,105,100,0,0,0,0,0,0,0,0.004072560253997383
108,111,99,97,116,105,111,110,0,0,0,0,0.0040733378315254065
115,117,112,112,108,105,101,114,0,0,0,0,0.004073540200667514
114,101,116,117,114,110,0,0,0,0,0,0,0.004069486062628073
116,101,120,116,0,0,0,0,0,0,0,0,0.004064023340986958
110,117,108,108,0,0,0,0,0,0,0,0,0.004058793985301504
117,110,112,97,114,115,97,98,108,101,0,0,0.004066496424402751
115,117,112,112,108,105,101,114,0,0,0,0,0.0040667258657871375
114,101,99,111,103,110,105,122,101,100,0,0,0.004074371281057429
103,117,101,115,116,115,0,0,0,0,0,0,0.004070510241036578
116,97,103,0,0,0,0,0,0,0,0,0,0.004066009119945361
108,97,114,103,101,0,0,0,0,0,0,0,0.0040618691991364765
115,109,97,108,108,0,0,0,0,0,0,0,0.004057467130240179
98,97,115,101,100,0,0,0,0,0,0,0,0.004053613692418845
115,112,101,99,105,102,105,101,100,0,0,0,0.004057926451260942
110,117,109,98,101,114,0,0,0,0,0,0,0.004054547072432818
114,111,111,109,115,0,0,0,0,0,0,0,0.004049762378971032
116,97,103,0,0,0,0,0,0,0,0,0,0.004045382949399488
104,111,116,101,108,0,0,0,0,0,0,0,0.004041040746195386
105,100,101,110,116,105,102,105,101,114,0,0,0.004048710923573567
117,115,101,100,0,0,0,0,0,0,0,0,0.004043968575772935
97,108,111,110,103,0,0,0,0,0,0,0,0.004039888975845928
105,100,101,110,116,105,102,105,101,114,0,0,0.0040474900860818265
108,111,99,97,116,105,111,110,105,100,0,0,0.0040549552063586765
109,97,114,107,101,116,107,101,121,119,111,114,0.004075953722420541
97,100,100,114,101,115,115,0,0,0,0,0,0.004074552025942734
97,109,101,110,105,116,121,0,0,0,0,0,0.004072831656860884
99,111,100,101,0,0,0,0,0,0,0,0,0.0040685984344441236
105,110,118,97,108,105,100,0,0,0,0,0,0.004067215946091339
99,104,97,105,110,0,0,0,0,0,0,0,0.004063475325873586
99,111,100,101,0,0,0,0,0,0,0,0,0.004059293365908664
105,110,118,97,108,105,100,0,0,0,0,0,0.004057954050650099
99,108,105,101,110,116,0,0,0,0,0,0,0.004054952339162178
114,101,113,117,101,115,116,0,0,0,0,0,0.00405299559532835
108,97,99,107,101,100,0,0,0,0,0,0,0.004050535455055633
108,111,99,97,116,105,111,110,0,0,0,0,0.004051314743980634
105,110,102,111,0,0,0,0,0,0,0,0,0.004046916494541163
104,111,116,101,108,0,0,0,0,0,0,0,0.004042844791110948
115,104,111,112,112,105,110,103,0,0,0,0,0.004043369917730913
114,101,113,117,101,115,116,0,0,0,0,0,0.004041490745601023
99,108,105,101,110,116,0,0,0,0,0,0,0.004038612076969289
114,101,113,117,101,115,116,115,0,0,0,0,0.0040387823185988325
98,97,100,0,0,0,0,0,0,0,0,0,0.004035154428706583
101,110,100,0,0,0,0,0,0,0,0,0,0.004031244632089033
100,101,112,97,114,116,97,114,114,105,118,101,0.004046451636098889
100,97,116,101,115,0,0,0,0,0,0,0,0.004042682926829268
99,108,105,101,110,116,0,0,0,0,0,0,0.004039851751840807
114,101,113,117,101,115,116,115,0,0,0,0,0.0040400140712736725
98,97,100,0,0,0,0,0,0,0,0,0,0.004036448373698114
115,116,97,114,116,0,0,0,0,0,0,0,0.004032223720633118
98,101,103,105,110,0,0,0,0,0,0,0,0.004028750868589588
100,101,112,97,114,116,97,114,114,105,118,101,0.004043656207366985
100,97,116,101,115,0,0,0,0,0,0,0,0.004039972075746732
104,111,116,101,108,0,0,0,0,0,0,0,0.004036110539248967
115,101,108,101,99,116,101,100,0,0,0,0,0.0040371825085100815
108,111,110,103,101,114,0,0,0,0,0,0,0.004034301331232838
97,118,97,105,108,97,98,108,101,0,0,0,0.004038341510775152
112,108,101,97,115,101,0,0,0,0,0,0,0.0040357034795764
99,104,111,111,115,101,0,0,0,0,0,0,0.00403295817510162
97,110,111,116,104,101,114,0,0,0,0,0,0.004031639913381226
108,111,99,97,108,101,0,0,0,0,0,0,0.0040292156593877484
118,97,108,105,100,0,0,0,0,0,0,0,0.004025678079146287
108,111,99,97,116,105,111,110,0,0,0,0,0.004026487414431339
115,111,108,118,101,100,0,0,0,0,0,0,0.004023601777354868
109,97,114,107,101,116,0,0,0,0,0,0,0.004020885405634399
108,111,99,97,116,105,111,110,0,0,0,0,0.004021704719573503
115,101,114,118,105,99,101,0,0,0,0,0,0.004020449381469326
99,108,105,101,110,116,0,0,0,0,0,0,0.004017851522666902
114,101,113,117,101,115,116,115,0,0,0,0,0.004018085964772922
108,111,99,97,116,105,111,110,0,0,0,0,0.004018904552422849
105,110,102,111,0,0,0,0,0,0,0,0,0.004014995259402186
110,117,109,98,101,114,0,0,0,0,0,0,0.00401227579056506
104,111,116,101,108,0,0,0,0,0,0,0,0.004008689715101483
103,117,101,115,116,115,0,0,0,0,0,0,0.004005702919961046
101,120,99,101,101,100,115,0,0,0,0,0,0.004004788763684386
97,108,108,111,119,97,98,108,101,0,0,0,0.004008425677004787
110,117,109,98,101,114,0,0,0,0,0,0,0.0040057629820366624
112,101,114,0,0,0,0,0,0,0,0,0,0.004002008228840125
104,111,116,101,108,0,0,0,0,0,0,0,0.003998501213691087
114,111,111,109,0,0,0,0,0,0,0,0,0.003994438504413014
110,117,109,98,101,114,0,0,0,0,0,0,0.003991833788813831
114,111,111,109,115,0,0,0,0,0,0,0,0.003988049485003196
114,101,113,117,101,115,116,0,0,0,0,0,0.003986562511342418
103,114,101,97,116,101,114,0,0,0,0,0,0.003985581543088509
114,97,116,105,110,103,0,0,0,0,0,0,0.003983092310530411
99,111,100,101,0,0,0,0,0,0,0,0,0.0039796608812283545
105,110,118,97,108,105,100,0,0,0,0,0,0.003978755169495585
114,111,111,109,0,0,0,0,0,0,0,0,0.0039748080317828435
116,121,112,101,0,0,0,0,0,0,0,0,0.003970795893445981
114,97,116,101,0,0,0,0,0,0,0,0,0.003967144632710032
115,101,108,101,99,116,101,100,0,0,0,0,0.003968346314589666
108,111,110,103,101,114,0,0,0,0,0,0,0.003965908597460119
97,118,97,105,108,97,98,108,101,0,0,0,0.003969824738051037
112,108,101,97,115,101,0,0,0,0,0,0,0.003967600693654319
99,104,111,111,115,101,0,0,0,0,0,0,0.0039652790551144125
97,110,111,116,104,101,114,0,0,0,0,0,0.003964280697373145
101,114,114,111,114,97,116,108,97,110,116,105,0.0040844684439881275
115,101,115,115,105,111,110,0,0,0,0,0,0.00408283978125926
101,120,112,105,114,101,100,0,0,0,0,0,0.004081518318982057
104,111,116,101,108,0,0,0,0,0,0,0,0.004078056551174831
115,111,108,117,116,105,111,110,115,0,0,0,0.004080228264518295
102,111,117,110,100,0,0,0,0,0,0,0,0.0040767895482161625
99,114,105,116,101,114,105,97,0,0,0,0,0.004077437078579207
115,112,101,99,105,102,105,101,100,0,0,0,0.004080640343613768
101,114,114,111,114,0,0,0,0,0,0,0,0.004077015661964179
120,109,108,0,0,0,0,0,0,0,0,0,0.004073307859850626
114,101,113,117,101,115,116,0,0,0,0,0,0.004071673598821722
115,116,114,117,99,116,117,114,101,0,0,0,0.004073813445126516
99,111,114,114,101,99,116,0,0,0,0,0,0.004072538202557537
120,109,108,0,0,0,0,0,0,0,0,0,0.004068875791702548
119,101,108,108,0,0,0,0,0,0,0,0,0.004065176208748469
102,111,114,109,101,100,0,0,0,0,0,0,0.00406280168124638
97,110,100,111,114,0,0,0,0,0,0,0,0.004059609569548203
116,97,103,115,0,0,0,0,0,0,0,0,0.004056021932242394
99,111,114,114,101,99,116,108,121,0,0,0,0.004058576326169499
99,114,101,97,116,101,100,0,0,0,0,0,0.004057750424635476
109,117,115,116,0,0,0,0,0,0,0,0,0.0040538070507056215
108,101,97,115,116,0,0,0,0,0,0,0,0.0040505948892275235
111,110,101,0,0,0,0,0,0,0,0,0,0.0040472496835142
97,100,117,108,116,0,0,0,0,0,0,0,0.004044045688912259
101,118,101,114,121,0,0,0,0,0,0,0,0.004040603920453924
114,111,111,109,0,0,0,0,0,0,0,0,0.0040368998588331175
115,117,105,116,101,0,0,0,0,0,0,0,0.004033499633268702
114,101,115,101,114,118,101,0,0,0,0,0,0.0040322265271390805
111,114,100,101,114,98,121,116,121,112,101,0,0.004040428439067125
113,117,101,114,121,0,0,0,0,0,0,0,0.004036877799564662
118,97,108,105,100,0,0,0,0,0,0,0,0.004033891975164558
112,108,101,97,115,101,0,0,0,0,0,0,0.004031715435299007
116,114,121,0,0,0,0,0,0,0,0,0,0.004028047148408705
112,114,111,100,117,99,116,0,0,0,0,0,0.004026735468031275
99,117,114,114,101,110,116,108,121,0,0,0,0.004029058376329442
97,118,97,105,108,97,98,108,101,0,0,0,0.004032379251194374
114,101,113,117,101,115,116,101,100,0,0,0,0.004034979903508586
112,114,111,100,117,99,116,0,0,0,0,0,0.00403366642832235
97,118,97,105,108,97,98,108,101,0,0,0,0.004036941074036625
114,101,115,101,114,118,97,116,105,111,110,0,0.004044973674458281
99,97,110,0,0,0,0,0,0,0,0,0,0.004042012991548509
112,114,111,99,101,115,115,101,100,0,0,0,0.004044683754020076
100,97,121,115,0,0,0,0,0,0,0,0,0.004041307981830883
99,111,114,114,101,99,116,0,0,0,0,0,0.004040208669127714
105,110,102,111,114,109,97,116,105,111,110,0,0.0040482938364085124
116,114,121,0,0,0,0,0,0,0,0,0,0.004044739273745329
115,111,114,116,98,121,116,121,112,101,0,0,0.0040492030182613745
113,117,101,114,121,0,0,0,0,0,0,0,0.004045803096730848
118,97,108,105,100,0,0,0,0,0,0,0,0.004042941951378077
112,108,101,97,115,101,0,0,0,0,0,0,0.004040848239435417
116,114,121,0,0,0,0,0,0,0,0,0,0.0040373414268176245
97,99,99,101,112,116,0,0,0,0,0,0,0.004035404132523889
114,101,115,101,114,118,97,116,105,111,110,0,0.0040431971152216795
108,111,110,103,101,114,0,0,0,0,0,0,0.00404094510555843
100,97,121,115,0,0,0,0,0,0,0,0,0.004037670608416119
99,108,105,101,110,116,0,0,0,0,0,0,0.004035547618646495
114,101,113,117,101,115,116,0,0,0,0,0,0.004034184472479685
105,110,99,108,117,100,101,0,0,0,0,0,0.004033328640102983
112,111,115,0,0,0,0,0,0,0,0,0,0.00403006964907581
105,110,102,111,0,0,0,0,0,0,0,0,0.004026910267898939
