Label,ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,AggregateByteValue
1648,112,114,111,112,101,114,116,121,0,0,0,0,0.019335578212310685
1648,104,111,110,111,114,0,0,0,0,0,0,0,0.019332367165379494
1648,112,105,99,107,117,112,0,0,0,0,0,0,0.019328702820025252
1648,109,101,115,115,97,103,101,0,0,0,0,0,0.019324716941559135
1648,104,111,116,101,108,0,0,0,0,0,0,0,0.01932157651386239
1648,98,111,111,107,105,110,103,0,0,0,0,0,0.01931756764884292
1648,101,114,114,111,114,0,0,0,0,0,0,0,0.019314337020646687
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019311884353337166
1648,102,97,105,108,117,114,101,0,0,0,0,0,0.01930788695347226
1648,112,114,111,99,101,115,115,105,110,103,0,0,0.019302702706414585
1648,112,114,111,98,108,101,109,0,0,0,0,0,0.019298650540755125
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01929620259941908
1648,112,114,111,98,108,101,109,0,0,0,0,0,0.01929215373023095
1648,105,110,118,97,108,105,100,0,0,0,0,0,0.019288173117856494
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01928464130720335
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019282197468479444
1648,100,97,116,97,0,0,0,0,0,0,0,0,0.01927975431683857
1648,112,114,111,118,105,100,101,100,0,0,0,0,0.01927531214620374
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.019271792541509073
1648,114,101,118,105,101,119,0,0,0,0,0,0,0.019268116028923293
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.019264074883824645
1648,112,97,121,109,101,110,116,102,97,105,108,117,0.019258166413843935
1648,112,97,121,109,101,110,116,0,0,0,0,0,0.01925405188951275
1648,102,97,105,108,117,114,101,0,0,0,0,0,0.01925008443029992
1648,104,97,112,112,101,110,101,100,0,0,0,0,0.01924581800568249
1648,112,104,111,110,101,0,0,0,0,0,0,0,0.01924272137525719
1648,99,97,116,101,103,111,114,121,0,0,0,0,0.019238294619125088
1648,101,120,0,0,0,0,0,0,0,0,0,0,0.019236885497268878
1648,104,111,109,101,0,0,0,0,0,0,0,0,0.019234357417006565
1648,119,111,114,107,0,0,0,0,0,0,0,0,0.019231659172011816
1648,101,116,99,0,0,0,0,0,0,0,0,0,0.01922971561206611
1648,114,101,113,117,105,114,101,100,0,0,0,0,0.019225276422219825
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.01922177917107004
1648,112,114,111,118,105,100,101,0,0,0,0,0,0.019217716332831248
1648,118,97,108,105,100,0,0,0,0,0,0,0,0.019214695829621844
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.019211196606228425
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019208774571571722
1648,100,101,116,97,105,108,115,0,0,0,0,0,0.019204842849314546
1648,105,110,118,97,108,105,100,99,114,101,100,105,0.019199162364937995
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.019195670769271683
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019193253856115398
1648,100,101,116,97,105,108,115,0,0,0,0,0,0.019189330848722146
1648,99,111,110,116,97,105,110,115,0,0,0,0,0.019184928958650746
1648,105,110,118,97,108,105,100,0,0,0,0,0,0.01918100366663431
1648,118,97,108,117,101,115,0,0,0,0,0,0,0.01917738289056937
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.01917390734451736
1648,112,114,111,118,105,100,101,0,0,0,0,0,0.01916987010829868
1648,118,97,108,105,100,0,0,0,0,0,0,0,0.019166868015602443
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01916339049160148
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019160982990986064
1648,100,101,116,97,105,108,115,0,0,0,0,0,0.01915707609527052
1648,105,110,118,97,108,105,100,99,114,101,100,105,0.019151443073272087
1648,99,111,109,111,114,98,105,116,122,116,98,115,0.019150609862085076
1648,117,110,107,110,111,119,110,0,0,0,0,0,0.019146440634706868
1648,101,120,99,101,112,116,105,111,110,0,0,0,0.019141694739974274
1648,99,97,117,103,104,116,0,0,0,0,0,0,0.019138226561315398
1648,115,116,97,99,107,0,0,0,0,0,0,0,0.01913520137099616
1648,99,111,109,111,114,98,105,116,122,111,109,112,0.01914047765239864
1648,102,97,105,108,101,100,0,0,0,0,0,0,0.019137165100194833
1648,108,97,112,115,97,110,103,0,0,0,0,0,0.01913328242083513
1648,115,101,114,118,105,99,101,0,0,0,0,0,0.01912933047835738
1648,105,110,118,111,99,97,116,105,111,110,0,0,0.019124307365245983
1648,114,101,113,117,101,115,116,117,114,108,0,0,0.019119068094807002
1648,104,116,116,112,116,101,97,107,101,116,116,108,0.01913508654130828
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.019131650117909686
1648,112,114,111,118,105,100,101,0,0,0,0,0,0.019127658655523544
1648,118,97,108,105,100,0,0,0,0,0,0,0,0.019124690046050302
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01912125162532865
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01911887076566634
1648,100,101,116,97,105,108,115,0,0,0,0,0,0.019115008174482466
1648,105,110,118,97,108,105,100,99,114,101,100,105,0.01910944915718269
1648,99,111,109,111,114,98,105,116,122,116,98,115,0.019108672531821944
1648,117,110,107,110,111,119,110,0,0,0,0,0,0.01910455033034949
1648,101,120,99,101,112,116,105,111,110,0,0,0,0.019099859097558375
1648,99,97,117,103,104,116,0,0,0,0,0,0,0.019096429766462707
1648,115,116,97,99,107,0,0,0,0,0,0,0,0.019093438156595383
1648,99,111,109,111,114,98,105,116,122,111,109,112,0.019098728196539787
1648,102,97,105,108,101,100,0,0,0,0,0,0,0.01909545274190982
1648,108,97,112,115,97,110,103,0,0,0,0,0,0.019091613854169045
1648,115,101,114,118,105,99,101,0,0,0,0,0,0.01908770643088338
1648,105,110,118,111,99,97,116,105,111,110,0,0,0.019082741612693226
1648,114,101,113,117,101,115,116,117,114,108,0,0,0.019077562925897056
1648,104,116,116,112,97,109,101,120,97,112,112,113,0.019099184024222275
1648,110,115,116,97,116,117,115,109,101,115,115,97,0.019093386259047693
1648,105,110,116,101,114,110,97,108,0,0,0,0,0.019089106540516106
1648,115,101,114,118,101,114,0,0,0,0,0,0,0.01908552755839706
1648,101,114,114,111,114,110,115,101,114,118,101,114,0.01907993178071188
1648,97,112,97,99,104,101,99,111,121,111,116,101,0.019074710476487584
1648,99,97,117,115,101,100,0,0,0,0,0,0,0.01907135510585721
1648,99,111,109,111,114,98,105,116,122,108,97,112,0.019101105772531175
1648,102,97,105,108,101,100,0,0,0,0,0,0,0.01909785430918991
1648,108,97,112,115,97,110,103,0,0,0,0,0,0.019094043508109015
1648,115,101,114,118,105,99,101,0,0,0,0,0,0.019090164660498864
1648,105,110,118,111,99,97,116,105,111,110,0,0,0.019085236026242448
1648,114,101,113,117,101,115,116,117,114,108,0,0,0.019080095064929536
1648,104,116,116,112,97,109,101,120,97,112,112,113,0.019101550343053716
1648,112,111,115,116,97,108,0,0,0,0,0,0,0.01909801780692911
1648,99,111,100,101,0,0,0,0,0,0,0,0,0.019095670628718885
1648,112,114,111,118,105,100,101,100,0,0,0,0,0.01909142147002474
1648,115,112,101,99,105,102,105,101,100,0,0,0,0.01908701948219154
1648,99,111,117,110,116,114,121,0,0,0,0,0,0.01908293557748576
1648,115,116,97,116,101,0,0,0,0,0,0,0,0.019079917226016825
1648,112,114,111,118,105,110,99,101,0,0,0,0,0.01907562005380282
1648,114,101,113,117,105,114,101,100,0,0,0,0,0.019071356969819923
1648,115,112,101,99,105,102,105,101,100,0,0,0,0.01906696707882207
1648,99,111,117,110,116,114,121,0,0,0,0,0,0.019062893831872305
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01906056319832518
1648,115,101,99,117,114,105,116,121,0,0,0,0,0.019056163522554095
1648,99,111,100,101,0,0,0,0,0,0,0,0,0.01905382849540533
1648,101,110,116,101,114,101,100,0,0,0,0,0,0.019050045814585987
1648,118,97,108,105,100,97,116,101,0,0,0,0,0.019045942137475617
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.019042585750355105
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019040260900720172
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.01903691316345576
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01903306949033893
1648,114,101,115,117,98,109,105,116,0,0,0,0,0.019028767394088375
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01902644647111553
1648,116,121,112,101,0,0,0,0,0,0,0,0,0.01902387469174277
1648,112,114,111,118,105,100,101,100,0,0,0,0,0.019019665693453324
1648,97,99,99,101,112,116,101,100,0,0,0,0,0.01901568519683125
1648,112,114,111,112,101,114,116,121,0,0,0,0,0.019011229766591635
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.019007888141179704
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.019005573171142303
1648,117,115,101,100,0,0,0,0,0,0,0,0,0.019003114575931526
1648,108,105,115,116,101,100,0,0,0,0,0,0,0.018999713587312315
1648,114,101,99,111,114,100,0,0,0,0,0,0,0.01899635164723507
1648,118,97,108,105,100,0,0,0,0,0,0,0,0.01899347210645701
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01899116111272162
1648,116,121,112,101,115,0,0,0,0,0,0,0,0.018988051705161085
1648,112,114,111,112,101,114,116,121,0,0,0,0,0.01898361206934915
1648,107,110,111,119,110,0,0,0,0,0,0,0,0.018980555614147028
1648,98,111,111,107,101,100,0,0,0,0,0,0,0.018977270480621585
1648,115,117,98,109,105,116,116,105,110,103,0,0,0.01897235890081208
1648,114,101,115,101,114,118,97,116,105,111,110,0,0.018967204413660853
1648,117,115,101,114,0,0,0,0,0,0,0,0,0.018964670033181207
1648,109,117,115,116,0,0,0,0,0,0,0,0,0.01896207398239643
1648,115,101,108,101,99,116,0,0,0,0,0,0,0.018958721936643125
1648,97,110,111,116,104,101,114,0,0,0,0,0,0.018954923203921285
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018952623228391918
1648,116,121,112,101,0,0,0,0,0,0,0,0,0.018950074549226335
1648,119,105,108,108,0,0,0,0,0,0,0,0,0.018947588937199927
1648,97,99,99,101,112,116,101,100,0,0,0,0,0.018943646273694426
1648,112,114,111,112,101,114,116,121,0,0,0,0,0.018939232635395483
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01893592137424197
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018933626725161034
1648,116,121,112,101,0,0,0,0,0,0,0,0,0.01893108391969077
1648,105,110,118,97,108,105,100,0,0,0,0,0,0.01892736076766107
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018924060629604004
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018920272548353368
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018915230264615203
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018913179722050685
1648,115,112,101,99,105,102,105,101,100,0,0,0,0.018908883120018528
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01890558481113453
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018903298835811096
1648,101,120,112,105,114,97,116,105,111,110,0,0,0.01889845614849401
1648,100,97,116,101,0,0,0,0,0,0,0,0,0.018896147482740627
1648,105,110,118,97,108,105,100,0,0,0,0,0,0.018892441573752746
1648,115,112,101,99,105,102,105,101,100,0,0,0,0.01888815731502346
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.018884867888861453
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01888258786360969
1648,101,120,112,105,114,97,116,105,111,110,0,0,0.01887775928299151
1648,100,97,116,101,0,0,0,0,0,0,0,0,0.01887545662021995
1648,105,110,118,97,108,105,100,0,0,0,0,0,0.01887176087474379
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018868484571299957
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018864724313645966
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018859722426560737
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018857685891570483
1648,115,112,101,99,105,102,105,101,100,0,0,0,0.01885342233722807
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.018850147815313197
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01884787777533122
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018844519349955173
1648,105,110,118,97,108,105,100,0,0,0,0,0,0.018840838720758837
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018837575562877323
1648,99,104,101,99,107,0,0,0,0,0,0,0,0.01883486392459398
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018831511035121734
1648,112,114,111,118,105,100,101,100,0,0,0,0,0.018827408653482248
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.01882538005854407
1648,114,101,113,117,101,115,116,0,0,0,0,0,0.01882149985649803
1648,99,97,110,0,0,0,0,0,0,0,0,0,0.018819748857479588
1648,112,114,111,99,101,115,115,101,100,0,0,0,0.018815335554082012
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018812083043791727
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.018808666389244538
1648,98,105,108,108,105,110,103,0,0,0,0,0,0.01880503970397457
1648,97,100,100,114,101,115,115,0,0,0,0,0,0.01880138414074877
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01879765689057696
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.01879563561252142
1648,114,101,115,101,114,118,97,116,105,111,110,0,0.018790609647145743
1648,99,97,110,0,0,0,0,0,0,0,0,0,0.018788865345557064
1648,112,114,111,99,101,115,115,101,100,0,0,0,0.018784470892439266
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.018781066532225277
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.01877773691188479
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.018774494153265528
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018772245382530858
1648,101,120,112,105,114,97,116,105,111,110,0,0,0.01876749094560539
1648,100,97,116,101,0,0,0,0,0,0,0,0,0.018765219815515027
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01876151043251972
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018759498160619524
1648,114,101,115,101,114,118,97,116,105,111,110,0,0.018754498440886818
1648,99,97,110,0,0,0,0,0,0,0,0,0,0.0187527619403804
1648,112,114,111,99,101,115,115,101,100,0,0,0,0.01874838944187873
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.01874500103994593
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018741687050289696
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01873845954251705
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018736220989530046
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01873252583454672
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018730520733039623
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.018727451288625126
1648,117,110,97,98,108,101,0,0,0,0,0,0,0.018724253830978102
1648,112,114,111,99,101,115,115,0,0,0,0,0,0.018720485521095113
1648,114,101,113,117,101,115,116,0,0,0,0,0,0.01871665846137901
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01871442589504024
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018711124724340205
1648,101,110,116,101,114,101,100,0,0,0,0,0,0.018707508184855705
1648,109,97,121,0,0,0,0,0,0,0,0,0,0.018705654413285477
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018701973871339664
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.01869876869849694
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.01869540156642897
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018693174835415462
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018689882583923248
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.0186862095841155
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.01868421562993126
1648,101,114,114,111,114,115,114,101,115,105,110,102,0.018684360661485874
1648,109,115,116,101,114,114,116,114,97,118,99,99,0.018681089401883153
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.018678044293534004
1648,115,121,115,116,101,109,0,0,0,0,0,0,0.01867459568917845
1648,99,97,110,0,0,0,0,0,0,0,0,0,0.01867287900228626
1648,97,117,116,104,101,110,116,105,99,97,116,101,0.01866794720982323
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.01866309390342908
1648,112,114,111,118,105,100,101,100,0,0,0,0,0.018659090901771105
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018654244193103162
1648,109,105,115,109,97,116,99,104,0,0,0,0,0.0186502883057151
1648,111,99,99,117,114,114,101,100,0,0,0,0,0.018646328592573525
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018643152790118755
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.018639816409598293
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.018636637264328414
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01863443124746796
1648,98,105,108,108,105,110,103,0,0,0,0,0,0.018630894117639497
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018626067497904127
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018622432835039344
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018620458490568464
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.018617437447551136
1648,115,121,115,116,101,109,0,0,0,0,0,0,0.018614016588621204
1648,99,97,110,0,0,0,0,0,0,0,0,0,0.01861231310579087
1648,97,117,116,104,101,110,116,105,99,97,116,101,0.01860742700037131
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018602617285582348
1648,112,114,111,118,105,100,101,100,0,0,0,0,0.0185986478772057
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018593844674200527
1648,109,105,115,109,97,116,99,104,0,0,0,0,0.018589922002599915
1648,111,99,99,117,114,114,101,100,0,0,0,0,0.018585995522530097
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018582845361326733
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.018579535809706706
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01857638231778331
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018574193505008645
1648,98,105,108,108,105,110,103,0,0,0,0,0,0.01857068548505843
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.01856590211395912
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018562297263578144
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.0185603379808472
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.01855734070675614
1648,115,121,115,116,101,109,0,0,0,0,0,0,0.018553947249361567
1648,99,97,110,0,0,0,0,0,0,0,0,0,0.018552256809624638
1648,97,117,116,104,101,110,116,105,99,97,116,101,0.018547415798704323
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018542649115532474
1648,112,114,111,118,105,100,101,100,0,0,0,0,0.018538712878275205
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.01853395262240659
1648,109,105,115,109,97,116,99,104,0,0,0,0,0.018530062749280863
1648,111,99,99,117,114,114,101,100,0,0,0,0,0.01852616908489087
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018523044247200415
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.01851976119254465
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.018516633036229038
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018514461217079906
1648,98,105,108,108,105,110,103,0,0,0,0,0,0.018510981944061495
1648,105,110,102,111,114,109,97,116,105,111,110,0,0.018506241267403457
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01850266585837709
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018500721454758576
1648,101,114,114,111,114,115,114,101,115,105,110,102,0.018495496026092646
1648,109,115,116,101,114,114,116,114,97,118,99,99,0.01849058794820866
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.01848761946810886
1648,117,110,97,98,108,101,0,0,0,0,0,0,0.018484529587448246
1648,112,114,111,99,101,115,115,0,0,0,0,0,0.018480889783677845
1648,114,101,113,117,101,115,116,0,0,0,0,0,0.01847719302037795
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.01847408975269622
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.018470829271516612
1648,98,105,108,108,105,110,103,0,0,0,0,0,0.0184673720819344
1648,97,100,100,114,101,115,115,0,0,0,0,0,0.018463887190643683
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018460333603329365
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018458400269225152
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.018455443910289478
1648,117,110,97,98,108,101,0,0,0,0,0,0,0.018452366973385474
1648,112,114,111,99,101,115,115,0,0,0,0,0,0.018448742652105037
1648,114,101,113,117,101,115,116,0,0,0,0,0,0.01844506158545676
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.018441971302475865
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.018438724406078334
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.01843563082112311
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018433482203704117
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018430308928578786
1648,101,120,112,105,114,97,116,105,111,110,0,0,0.018425792226470804
1648,100,97,116,101,0,0,0,0,0,0,0,0,0.018423623006983792
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018420088429268937
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.01841816467915022
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.018415223458734975
1648,117,110,97,98,108,101,0,0,0,0,0,0,0.018412162686134898
1648,112,114,111,99,101,115,115,0,0,0,0,0,0.01840855769845404
1648,114,101,113,117,101,115,116,0,0,0,0,0,0.01840489623297823
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018402755964418312
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018399595437987717
1648,101,110,116,101,114,101,100,0,0,0,0,0,0.018396136063042717
1648,109,97,121,0,0,0,0,0,0,0,0,0,0.01839435752296548
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01839083660528194
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.01838776815543946
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.01838454410141745
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.018382409293794567
1648,110,117,109,98,101,114,0,0,0,0,0,0,0.018379257108709853
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01837574324174974
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018373829928508306
1648,115,111,114,114,121,0,0,0,0,0,0,0,0.0183709051971781
1648,117,110,97,98,108,101,0,0,0,0,0,0,0.018367862033747347
1648,112,114,111,99,101,115,115,0,0,0,0,0,0.018364278109828557
1648,114,101,113,117,101,115,116,0,0,0,0,0,0.018360637999527443
1648,101,120,112,105,114,97,116,105,111,110,0,0,0.018356165852323292
1648,100,97,116,101,0,0,0,0,0,0,0,0,0.018354015606613452
1648,101,110,116,101,114,101,100,0,0,0,0,0,0.018350577308817582
1648,109,97,121,0,0,0,0,0,0,0,0,0,0.018348808811598005
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.018345309299467434
1648,112,108,101,97,115,101,0,0,0,0,0,0,0.01834225916480935
1648,118,101,114,105,102,121,0,0,0,0,0,0,0.018339054273064752
1648,101,120,112,105,114,97,116,105,111,110,0,0,0.01833459605263241
1648,100,97,116,101,0,0,0,0,0,0,0,0,0.018332451749000347
1648,99,111,114,114,101,99,116,0,0,0,0,0,0.01832896003404626
1648,116,114,121,0,0,0,0,0,0,0,0,0,0.018327057901520363
1648,117,105,110,118,97,108,105,100,0,0,0,0,0.018323243860651057
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01832112569707171
1648,110,117,109,98,101,114,117,0,0,0,0,0,0.01831757013702327
1648,110,111,116,112,114,111,99,101,115,115,101,100,0.018312751961455674
1648,98,117,115,105,110,101,115,115,108,111,103,105,0.0183078698960511
1648,101,114,114,115,119,115,104,111,115,116,101,114,0.01830418058730438
1648,117,105,110,118,108,100,117,0,0,0,0,0,0.018300584367578667
1648,99,114,101,100,105,116,0,0,0,0,0,0,0.018297549064225253
1648,99,97,114,100,0,0,0,0,0,0,0,0,0.01829543956768156
1648,116,121,112,101,0,0,0,0,0,0,0,0,0.01829310101380927
1648,97,99,99,101,112,116,101,100,0,0,0,0,0.018289508644635903
1648,112,114,111,112,0,0,0,0,0,0,0,0,0.018287177598843758
1648,110,111,116,112,114,111,99,101,115,115,101,100,0.01828238548844687
1648,98,117,115,105,110,101,115,115,108,111,103,105,0.018277530569848488
1648,101,114,114,115,119,115,104,111,115,116,101,114,0.01827387801711033
1648,117,110,114,117,0,0,0,0,0,0,0,0,0.018271502012553374
1648,114,109,115,0,0,0,0,0,0,0,0,0,0.018269690869324184
1648,110,111,116,112,114,111,99,101,115,115,101,100,0.01826491530875725
1648,98,117,115,105,110,101,115,115,108,111,103,105,0.018260077579266655
1648,101,114,114,115,119,115,104,111,115,116,101,114,0.018256447307483895
1648,99,111,109,111,114,98,105,116,122,116,98,115,0.018343206606419443
