ByteRange0,ByteRange1,ByteRange2,ByteRange3,ByteRange4,ByteRange5,ByteRange6,ByteRange7,ByteRange8,ByteRange9,ByteRange10,ByteRange11,FitValue,Word,Category
117,110,115,117,99,99,101,115,115,102,117,108,0.004301985531783901,unsuccessful,availability_error
99,97,99,104,101,100,0,0,0,0,0,0,0.0042705689114528895,cached,availability_error
97,118,97,105,108,97,98,105,108,105,116,121,0.00441729851165403,availability,availability_error
102,111,117,110,100,0,0,0,0,0,0,0,0.00436775312699717,found,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0043314108251996455,please,availability_error
114,101,105,115,115,117,101,0,0,0,0,0,0.004305817744980264,reissue,availability_error
97,118,97,105,108,97,98,105,108,105,116,121,0.004431517715494447,availability,availability_error
98,111,111,107,0,0,0,0,0,0,0,0,0.004387045181927229,book,availability_error
100,97,121,115,0,0,0,0,0,0,0,0,0.0043430413080218526,days,availability_error
97,100,118,97,110,99,101,0,0,0,0,0,0.004327536785782534,advance,availability_error
99,104,111,111,115,101,0,0,0,0,0,0,0.004296799224054316,choose,availability_error
97,110,111,116,104,101,114,0,0,0,0,0,0.004278457128342829,another,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004242499733086587,hotel,availability_error
116,114,121,0,0,0,0,0,0,0,0,0,0.004203866432337435,try,availability_error
99,105,116,121,0,0,0,0,0,0,0,0,0.004166695510712679,city,availability_error
100,101,116,101,114,109,105,110,101,100,0,0,0.004214972619206625,determined,availability_error
108,111,99,97,116,105,111,110,99,111,100,101,0.004318618657098924,locationcode,availability_error
99,105,116,121,0,0,0,0,0,0,0,0,0.004283096945383327,city,availability_error
99,111,117,110,116,114,121,0,0,0,0,0,0.004263214670981661,country,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.004234373578382313,valid,availability_error
99,111,109,98,105,110,97,116,105,111,110,115,0.004325870574155697,combinations,availability_error
100,97,116,97,118,97,108,105,100,97,116,105,0.0044781173046787555,datavalidation,availability_error
100,97,116,97,0,0,0,0,0,0,0,0,0.004448901676534056,data,availability_error
114,101,113,117,101,115,116,0,0,0,0,0,0.004429217560869918,request,availability_error
118,97,108,105,100,97,116,101,100,0,0,0,0.004442625115542057,validated,availability_error
109,117,108,116,105,112,108,101,0,0,0,0,0.004436127100487856,multiple,availability_error
108,111,99,97,116,105,111,110,115,0,0,0,0.004445395714249741,locations,availability_error
105,100,101,110,116,105,102,105,101,100,0,0,0.0044749497031257674,identified,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004453517587939698,please,availability_error
114,101,102,105,110,101,0,0,0,0,0,0,0.0044328375966686505,refine,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004413081702027899,search,availability_error
99,114,105,116,101,114,105,97,0,0,0,0,0.004410426148117501,criteria,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004385869318439813,hotel,availability_error
114,101,99,111,103,110,105,122,101,100,0,0,0.0044119081397410885,recognized,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004388197669324455,hotel,availability_error
111,118,101,114,118,105,101,119,0,0,0,0,0.004382775736479082,overview,availability_error
105,110,102,111,114,109,97,116,105,111,110,0,0.004423306585095016,information,availability_error
97,118,97,105,108,97,98,108,101,0,0,0,0.004435036376340992,available,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004412781007358022,hotel,availability_error
102,111,117,110,100,0,0,0,0,0,0,0,0.004391008886565604,found,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004369704443295278,hotel,availability_error
114,111,111,109,0,0,0,0,0,0,0,0,0.004346746052086825,room,availability_error
116,121,112,101,0,0,0,0,0,0,0,0,0.004323764485177731,type,availability_error
102,111,117,110,100,0,0,0,0,0,0,0,0.004303753408233906,found,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.0042841559336306055,hotel,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004269669294911793,please,availability_error
115,101,108,101,99,116,0,0,0,0,0,0,0.00425504885384946,select,availability_error
100,105,102,102,101,114,101,110,116,0,0,0,0.004266676456551269,different,availability_error
114,111,111,109,0,0,0,0,0,0,0,0,0.004246308468219143,room,availability_error
100,97,116,101,115,0,0,0,0,0,0,0,0.004229243309528962,dates,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004211673096156594,hotel,availability_error
99,111,109,109,111,110,0,0,0,0,0,0,0.004197842552214827,common,availability_error
101,114,114,111,114,115,109,115,116,101,114,114,0.004288365060820563,errorsmsterror,availability_error
116,110,111,119,101,114,114,111,114,97,116,116,0.004353889736325997,tnowerrorattr,availability_error
115,117,112,112,108,105,101,114,101,114,114,111,0.00451045426462459,suppliererrorcode,availability_error
99,111,109,109,111,110,0,0,0,0,0,0,0.004494730914648862,common,availability_error
101,114,114,111,114,115,0,0,0,0,0,0,0.004477906532535336,errors,availability_error
109,115,116,101,114,114,111,114,0,0,0,0,0.00447220565617251,msterror,availability_error
115,117,112,112,108,105,101,114,101,114,114,111,0.004615736574801348,suppliererrorcode,availability_error
116,110,111,119,101,114,114,111,114,97,116,116,0.00466696508504924,tnowerrorattr,availability_error
105,110,99,111,114,114,101,99,116,0,0,0,0.004669284737236906,incorrect,availability_error
120,109,108,0,0,0,0,0,0,0,0,0,0.004651962649650207,xml,availability_error
102,111,114,109,97,116,0,0,0,0,0,0,0.004636462486408119,format,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004622247123216825,please,availability_error
99,104,101,99,107,0,0,0,0,0,0,0,0.004607167814714984,check,availability_error
109,105,115,115,105,110,103,0,0,0,0,0,0.004596154117464483,missing,availability_error
101,108,101,109,101,110,116,115,0,0,0,0,0.004591731482255862,elements,availability_error
111,100,100,0,0,0,0,0,0,0,0,0,0.004577325024634644,odd,availability_error
99,104,97,114,97,99,116,101,114,115,0,0,0.004591226798342202,characters,availability_error
105,110,99,111,114,114,101,99,116,0,0,0,0.00459434649963552,incorrect,availability_error
102,111,114,109,97,116,0,0,0,0,0,0,0.004580539831653887,format,availability_error
98,101,100,0,0,0,0,0,0,0,0,0,0.004567483272465546,bed,availability_error
116,121,112,101,0,0,0,0,0,0,0,0,0.0045505856166198535,type,availability_error
112,114,101,102,101,114,101,110,99,101,0,0,0.004564294207576015,preference,availability_error
105,110,99,111,114,114,101,99,116,0,0,0,0.004567612903225806,incorrect,availability_error
118,97,108,117,101,0,0,0,0,0,0,0,0.004552606963006625,value,availability_error
115,116,97,114,0,0,0,0,0,0,0,0,0.004536906081571805,star,availability_error
114,97,116,105,110,103,0,0,0,0,0,0,0.004524567788898999,rating,availability_error
105,110,118,97,108,105,100,0,0,0,0,0,0.004516658111204317,invalid,availability_error
101,120,112,105,114,101,100,0,0,0,0,0,0.004508334987100616,expired,availability_error
99,111,100,101,0,0,0,0,0,0,0,0,0.004495094712161411,code,availability_error
105,110,118,101,110,116,111,114,121,0,0,0,0.004497019782791531,inventory,availability_error
115,111,117,114,99,101,0,0,0,0,0,0,0.004484872669230211,source,availability_error
105,110,102,111,114,109,97,116,105,111,110,0,0.004506484836925425,information,availability_error
109,105,115,109,97,116,99,104,0,0,0,0,0.004504023978664653,mismatch,availability_error
109,105,110,105,109,117,109,0,0,0,0,0,0.004495707903538934,minimum,availability_error
110,117,109,98,101,114,0,0,0,0,0,0,0.004484475654343915,number,availability_error
110,105,103,104,116,115,0,0,0,0,0,0,0.004473205234540595,nights,availability_error
114,101,113,117,105,114,101,100,0,0,0,0,0.004470589577178835,required,availability_error
109,117,115,116,0,0,0,0,0,0,0,0,0.004456257800975832,must,availability_error
115,117,112,112,108,121,0,0,0,0,0,0,0.004443843945279514,supply,availability_error
99,104,105,108,100,114,101,110,0,0,0,0,0.004442758989917016,children,availability_error
97,103,101,0,0,0,0,0,0,0,0,0,0.004432228731505053,age,availability_error
110,111,114,101,115,117,108,116,115,102,111,117,0.004486579821647141,noresultsfound,availability_error
118,97,99,97,110,99,121,0,0,0,0,0,0.004480134424630061,vacancy,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004470547701848642,please,availability_error
116,114,121,0,0,0,0,0,0,0,0,0,0.004457899817655262,try,availability_error
100,105,102,102,101,114,101,110,116,0,0,0,0.004462577377602701,different,availability_error
100,97,116,101,115,0,0,0,0,0,0,0,0.004451377890402281,dates,availability_error
110,101,97,114,98,121,0,0,0,0,0,0,0.004441904122662584,nearby,availability_error
104,111,116,101,108,115,0,0,0,0,0,0,0.0044319105055934,hotels,availability_error
102,111,117,110,100,0,0,0,0,0,0,0,0.004420587077662462,found,availability_error
100,97,116,97,98,97,115,101,0,0,0,0,0.004420696950712254,database,availability_error
112,114,105,99,101,109,105,115,109,97,116,99,0.004461377997407648,pricemismatch,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004452538586923712,please,availability_error
101,110,116,101,114,0,0,0,0,0,0,0,0.004441397806420623,enter,availability_error
99,105,116,121,0,0,0,0,0,0,0,0,0.004429654574619654,city,availability_error
97,110,100,111,114,0,0,0,0,0,0,0,0.004419183159730826,andor,availability_error
115,116,97,116,101,0,0,0,0,0,0,0,0.004408256609427676,state,availability_error
110,97,109,101,0,0,0,0,0,0,0,0,0.004397867724296359,name,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004389860770979481,search,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004381781686658198,please,availability_error
101,110,116,101,114,0,0,0,0,0,0,0,0.004371412862089921,enter,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.0043617378619346045,valid,availability_error
99,111,117,110,116,114,121,0,0,0,0,0,0.004355003095680336,country,availability_error
99,111,100,101,0,0,0,0,0,0,0,0,0.004345421078598808,code,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004337828916344431,please,availability_error
101,110,116,101,114,0,0,0,0,0,0,0,0.004327966069887025,enter,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.004318767507002801,valid,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004309178743961353,hotel,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0043019561482904485,please,availability_error
101,110,116,101,114,0,0,0,0,0,0,0,0.004292475371268931,enter,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.004283636962247586,valid,availability_error
115,116,97,116,101,0,0,0,0,0,0,0,0.004274222169643914,state,availability_error
99,111,100,101,0,0,0,0,0,0,0,0,0.004265367180417045,code,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004258568157643284,please,availability_error
110,97,114,114,111,119,0,0,0,0,0,0,0.00425066532854237,narrow,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004244179311942546,search,availability_error
101,110,116,101,114,105,110,103,0,0,0,0,0.004244090937226433,entering,availability_error
97,100,100,105,116,105,111,110,97,108,0,0,0.004256338817922164,additional,availability_error
99,114,105,116,101,114,105,97,0,0,0,0,0.004256494099435598,criteria,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004250019459796061,please,availability_error
110,97,114,114,111,119,0,0,0,0,0,0,0.00424248417721519,narrow,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004236302365760619,search,availability_error
101,110,116,101,114,105,110,103,0,0,0,0,0.004236275025896178,entering,availability_error
100,101,115,116,105,110,97,116,105,111,110,0,0.004254144110823443,destination,availability_error
105,110,102,111,114,109,97,116,105,111,110,0,0.004271518218286532,information,availability_error
108,97,116,105,116,117,100,101,0,0,0,0,0.00427124134397673,latitude,availability_error
108,111,110,103,105,116,117,100,101,0,0,0,0.004275607656679101,longitude,availability_error
115,101,97,114,99,104,101,115,0,0,0,0,0.0042757935700271105,searches,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0042696310695338755,please,availability_error
110,97,114,114,111,119,0,0,0,0,0,0,0.004262466768710223,narrow,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004256572619429305,search,availability_error
115,112,101,99,105,102,121,105,110,103,0,0,0.004266766269579522,specifying,availability_error
112,97,114,97,109,101,116,101,114,115,0,0,0.004276686444617797,parameters,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004270716542656203,please,availability_error
110,97,114,114,111,119,0,0,0,0,0,0,0.004263774491451391,narrow,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004258060510097953,search,availability_error
101,110,116,101,114,105,110,103,0,0,0,0,0.0042578914092738515,entering,availability_error
99,105,116,121,0,0,0,0,0,0,0,0,0.004249456350517523,city,availability_error
110,97,109,101,0,0,0,0,0,0,0,0,0.004241857900058213,name,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004236222273039104,please,availability_error
112,114,111,118,105,100,101,0,0,0,0,0,0.0042324802388765525,provide,availability_error
99,104,101,99,107,105,110,0,0,0,0,0,0.00422992854774036,checkin,availability_error
100,97,116,101,0,0,0,0,0,0,0,0,0.0042226313021263805,date,availability_error
99,111,110,102,105,114,109,97,116,105,111,110,0.004245975933739647,confirmation,availability_error
110,117,109,98,101,114,0,0,0,0,0,0,0.00424000947951536,number,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.0042346931253593595,search,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0042293017932087,please,availability_error
112,114,111,118,105,100,101,0,0,0,0,0,0.00422573748841689,provide,availability_error
108,97,116,105,116,117,100,101,0,0,0,0,0.004225780020737711,latitude,availability_error
100,101,99,105,109,97,108,0,0,0,0,0,0.0042235558889722425,decimal,availability_error
99,111,111,114,100,105,110,97,116,101,0,0,0.004233263658229298,coordinate,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004228154440374557,search,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0042229710556186155,please,availability_error
112,114,111,118,105,100,101,0,0,0,0,0,0.004219558145934618,provide,availability_error
108,111,110,103,105,116,117,100,101,0,0,0,0.004223642530765566,longitude,availability_error
100,101,99,105,109,97,108,0,0,0,0,0,0.004221503231969653,decimal,availability_error
99,111,111,114,100,105,110,97,116,101,0,0,0.004230905000865201,coordinate,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004225974294476414,search,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004220970364830279,please,availability_error
112,114,111,118,105,100,101,0,0,0,0,0,0.004217679180887372,provide,availability_error
100,101,99,105,109,97,108,0,0,0,0,0,0.0042156243419667295,decimal,availability_error
108,97,116,105,116,117,100,101,0,0,0,0,0.004215722688564887,latitude,availability_error
108,111,110,103,105,116,117,100,101,0,0,0,0.004219657832941966,longitude,availability_error
99,111,111,114,100,105,110,97,116,101,115,0,0.004234135885880889,coordinates,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004229379751953812,search,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.004224551629448225,please,availability_error
112,114,111,118,105,100,101,0,0,0,0,0,0.004221366926320491,provide,availability_error
111,110,101,0,0,0,0,0,0,0,0,0,0.004215014156879195,one,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.004208969066778138,valid,availability_error
97,109,101,110,105,116,121,0,0,0,0,0,0.0042059494485353855,amenity,availability_error
99,111,100,101,115,0,0,0,0,0,0,0,0.004200040158301434,codes,availability_error
115,101,97,114,99,104,0,0,0,0,0,0,0.004195550222875905,search,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0041909889305056765,please,availability_error
116,114,121,0,0,0,0,0,0,0,0,0,0.004184059383092741,try,availability_error
100,105,102,102,101,114,101,110,116,0,0,0,0.004188525373514701,different,availability_error
100,97,116,101,115,0,0,0,0,0,0,0,0.004182710624571385,dates,availability_error
110,101,97,114,98,121,0,0,0,0,0,0,0.004178086956521739,nearby,availability_error
104,111,116,101,108,115,0,0,0,0,0,0,0.004173132636352186,hotels,availability_error
112,114,105,99,105,110,103,0,0,0,0,0,0.00417067850157966,pricing,availability_error
101,114,114,111,114,0,0,0,0,0,0,0,0.004164365762546695,error,availability_error
114,101,116,114,105,101,118,101,0,0,0,0,0.004164471395198569,retrieve,availability_error
114,97,116,101,0,0,0,0,0,0,0,0,0.004158260007435866,rate,availability_error
105,110,102,111,114,109,97,116,105,111,110,0,0.004171802915667097,information,availability_error
114,101,113,117,101,115,116,101,100,0,0,0,0.004175471421234133,requested,availability_error
116,105,109,101,0,0,0,0,0,0,0,0,0.004169253380005977,time,availability_error
112,114,111,98,108,101,109,0,0,0,0,0,0.004166767841099483,problem,availability_error
103,101,116,116,105,110,103,0,0,0,0,0,0.004164279757804285,getting,availability_error
100,101,116,97,105,108,101,100,0,0,0,0,0.004165434058467718,detailed,availability_error
114,111,111,109,0,0,0,0,0,0,0,0,0.004158995916262391,room,availability_error
97,118,97,105,108,0,0,0,0,0,0,0,0.004153714640969848,avail,availability_error
120,109,108,119,115,0,0,0,0,0,0,0,0.004147329540377111,xmlws,availability_error
114,97,116,101,0,0,0,0,0,0,0,0,0.004141416542372076,rate,availability_error
100,101,116,97,105,108,0,0,0,0,0,0,0.0041375880646498135,detail,availability_error
116,104,114,101,119,0,0,0,0,0,0,0,0.004131732993438135,threw,availability_error
101,120,99,101,112,116,105,111,110,0,0,0,0.004135555829358304,exception,availability_error
113,117,101,114,121,0,0,0,0,0,0,0,0.004129469898540978,query,availability_error
112,114,111,112,105,100,0,0,0,0,0,0,0.004125096848985489,propid,availability_error
112,114,111,112,101,114,116,121,0,0,0,0,0.004124652294853964,property,availability_error
108,111,110,103,101,114,0,0,0,0,0,0,0.0041205032129186464,longer,availability_error
97,118,97,105,108,97,98,108,101,0,0,0,0.004125396242017733,available,availability_error
112,114,111,112,101,114,116,121,0,0,0,0,0.004124956437781726,property,availability_error
108,111,111,107,117,112,0,0,0,0,0,0,0.0041204191163497494,lookup,availability_error
102,97,105,108,101,100,0,0,0,0,0,0,0.004117153292951293,failed,availability_error
115,117,112,112,108,105,101,114,0,0,0,0,0.004117155756207675,supplier,availability_error
104,111,116,101,108,105,100,0,0,0,0,0,0.004115260333249038,hotelid,availability_error
113,117,101,114,121,0,0,0,0,0,0,0,0.004109494652990572,query,availability_error
99,97,110,0,0,0,0,0,0,0,0,0,0.004104643294541347,can,availability_error
112,114,111,99,101,101,100,0,0,0,0,0,0.004102976803764863,proceed,availability_error
114,101,102,101,114,0,0,0,0,0,0,0,0.004098074819392849,refer,availability_error
109,117,108,116,105,112,108,101,0,0,0,0,0.004098351596735244,multiple,availability_error
108,111,99,97,116,105,111,110,115,0,0,0,0.004102179349767775,locations,availability_error
102,97,113,0,0,0,0,0,0,0,0,0,0.004097296526143092,faq,availability_error
100,101,116,97,105,108,115,0,0,0,0,0,0.004095601374946035,details,availability_error
114,101,99,111,118,101,114,105,110,103,0,0,0.0041034417189579776,recovering,availability_error
116,121,112,101,115,0,0,0,0,0,0,0,0.0040979255808915125,types,availability_error
101,114,114,111,114,115,0,0,0,0,0,0,0.004093654040226877,errors,availability_error
115,112,101,99,105,102,105,101,100,0,0,0,0.0040981212313210445,specified,availability_error
97,114,114,105,118,97,108,0,0,0,0,0,0.004096218020022247,arrival,availability_error
100,97,116,101,0,0,0,0,0,0,0,0,0.004091331120668495,date,availability_error
112,114,105,111,114,0,0,0,0,0,0,0,0.004086145071876231,prior,availability_error
116,111,100,97,121,115,0,0,0,0,0,0,0.0040821855350913466,todays,availability_error
100,97,116,101,0,0,0,0,0,0,0,0,0.004077371505956537,date,availability_error
115,112,101,99,105,102,105,101,100,0,0,0,0.0040818313892281135,specified,availability_error
99,105,116,121,0,0,0,0,0,0,0,0,0.004076474264377655,city,availability_error
114,101,115,111,108,118,101,100,0,0,0,0,0.004077005515330528,resolved,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.004072560253997383,valid,availability_error
108,111,99,97,116,105,111,110,0,0,0,0,0.0040733378315254065,location,availability_error
115,117,112,112,108,105,101,114,0,0,0,0,0.004073540200667514,supplier,availability_error
114,101,116,117,114,110,0,0,0,0,0,0,0.004069486062628073,return,availability_error
116,101,120,116,0,0,0,0,0,0,0,0,0.004064023340986958,text,availability_error
110,117,108,108,0,0,0,0,0,0,0,0,0.004058793985301504,null,availability_error
117,110,112,97,114,115,97,98,108,101,0,0,0.004066496424402751,unparsable,availability_error
115,117,112,112,108,105,101,114,0,0,0,0,0.0040667258657871375,supplier,availability_error
114,101,99,111,103,110,105,122,101,100,0,0,0.004074371281057429,recognized,availability_error
103,117,101,115,116,115,0,0,0,0,0,0,0.004070510241036578,guests,availability_error
116,97,103,0,0,0,0,0,0,0,0,0,0.004066009119945361,tag,availability_error
108,97,114,103,101,0,0,0,0,0,0,0,0.0040618691991364765,large,availability_error
115,109,97,108,108,0,0,0,0,0,0,0,0.004057467130240179,small,availability_error
98,97,115,101,100,0,0,0,0,0,0,0,0.004053613692418845,based,availability_error
115,112,101,99,105,102,105,101,100,0,0,0,0.004057926451260942,specified,availability_error
110,117,109,98,101,114,0,0,0,0,0,0,0.004054547072432818,number,availability_error
114,111,111,109,115,0,0,0,0,0,0,0,0.004049762378971032,rooms,availability_error
116,97,103,0,0,0,0,0,0,0,0,0,0.004045382949399488,tag,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004041040746195386,hotel,availability_error
105,100,101,110,116,105,102,105,101,114,0,0,0.004048710923573567,identifier,availability_error
117,115,101,100,0,0,0,0,0,0,0,0,0.004043968575772935,used,availability_error
97,108,111,110,103,0,0,0,0,0,0,0,0.004039888975845928,along,availability_error
105,100,101,110,116,105,102,105,101,114,0,0,0.0040474900860818265,identifier,availability_error
108,111,99,97,116,105,111,110,105,100,0,0,0.0040549552063586765,locationid,availability_error
109,97,114,107,101,116,107,101,121,119,111,114,0.004075953722420541,marketkeyword,availability_error
97,100,100,114,101,115,115,0,0,0,0,0,0.004074552025942734,address,availability_error
97,109,101,110,105,116,121,0,0,0,0,0,0.004072831656860884,amenity,availability_error
99,111,100,101,0,0,0,0,0,0,0,0,0.0040685984344441236,code,availability_error
105,110,118,97,108,105,100,0,0,0,0,0,0.004067215946091339,invalid,availability_error
99,104,97,105,110,0,0,0,0,0,0,0,0.004063475325873586,chain,availability_error
99,111,100,101,0,0,0,0,0,0,0,0,0.004059293365908664,code,availability_error
105,110,118,97,108,105,100,0,0,0,0,0,0.004057954050650099,invalid,availability_error
99,108,105,101,110,116,0,0,0,0,0,0,0.004054952339162178,client,availability_error
114,101,113,117,101,115,116,0,0,0,0,0,0.00405299559532835,request,availability_error
108,97,99,107,101,100,0,0,0,0,0,0,0.004050535455055633,lacked,availability_error
108,111,99,97,116,105,111,110,0,0,0,0,0.004051314743980634,location,availability_error
105,110,102,111,0,0,0,0,0,0,0,0,0.004046916494541163,info,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004042844791110948,hotel,availability_error
115,104,111,112,112,105,110,103,0,0,0,0,0.004043369917730913,shopping,availability_error
114,101,113,117,101,115,116,0,0,0,0,0,0.004041490745601023,request,availability_error
99,108,105,101,110,116,0,0,0,0,0,0,0.004038612076969289,client,availability_error
114,101,113,117,101,115,116,115,0,0,0,0,0.0040387823185988325,requests,availability_error
98,97,100,0,0,0,0,0,0,0,0,0,0.004035154428706583,bad,availability_error
101,110,100,0,0,0,0,0,0,0,0,0,0.004031244632089033,end,availability_error
100,101,112,97,114,116,97,114,114,105,118,101,0.004046451636098889,departarrive,availability_error
100,97,116,101,115,0,0,0,0,0,0,0,0.004042682926829268,dates,availability_error
99,108,105,101,110,116,0,0,0,0,0,0,0.004039851751840807,client,availability_error
114,101,113,117,101,115,116,115,0,0,0,0,0.0040400140712736725,requests,availability_error
98,97,100,0,0,0,0,0,0,0,0,0,0.004036448373698114,bad,availability_error
115,116,97,114,116,0,0,0,0,0,0,0,0.004032223720633118,start,availability_error
98,101,103,105,110,0,0,0,0,0,0,0,0.004028750868589588,begin,availability_error
100,101,112,97,114,116,97,114,114,105,118,101,0.004043656207366985,departarrive,availability_error
100,97,116,101,115,0,0,0,0,0,0,0,0.004039972075746732,dates,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004036110539248967,hotel,availability_error
115,101,108,101,99,116,101,100,0,0,0,0,0.0040371825085100815,selected,availability_error
108,111,110,103,101,114,0,0,0,0,0,0,0.004034301331232838,longer,availability_error
97,118,97,105,108,97,98,108,101,0,0,0,0.004038341510775152,available,availability_error
112,108,101,97,115,101,0,0,0,0,0,0,0.0040357034795764,please,availability_error
99,104,111,111,115,101,0,0,0,0,0,0,0.00403295817510162,choose,availability_error
97,110,111,116,104,101,114,0,0,0,0,0,0.004031639913381226,another,availability_error
108,111,99,97,108,101,0,0,0,0,0,0,0.0040292156593877484,locale,availability_error
118,97,108,105,100,0,0,0,0,0,0,0,0.004025678079146287,valid,availability_error
108,111,99,97,116,105,111,110,0,0,0,0,0.004026487414431339,location,availability_error
115,111,108,118,101,100,0,0,0,0,0,0,0.004023601777354868,solved,availability_error
109,97,114,107,101,116,0,0,0,0,0,0,0.004020885405634399,market,availability_error
108,111,99,97,116,105,111,110,0,0,0,0,0.004021704719573503,location,availability_error
115,101,114,118,105,99,101,0,0,0,0,0,0.004020449381469326,service,availability_error
99,108,105,101,110,116,0,0,0,0,0,0,0.004017851522666902,client,availability_error
114,101,113,117,101,115,116,115,0,0,0,0,0.004018085964772922,requests,availability_error
108,111,99,97,116,105,111,110,0,0,0,0,0.004018904552422849,location,availability_error
105,110,102,111,0,0,0,0,0,0,0,0,0.004014995259402186,info,availability_error
110,117,109,98,101,114,0,0,0,0,0,0,0.00401227579056506,number,availability_error
104,111,116,101,108,0,0,0,0,0,0,0,0.004008689715101483,hotel,availability_error
103,117,101,115,116,115,0,0,0,0,0,0,0.004005702919961046,guests,availability_error
